company_name
A.P. Moller - Maersk
American Electric Power Company, Inc.
Anglo American
ArcelorMittal
BASF SE
Bayer AG
BHP
Boeing Company
Canadian Natural Resources Limited
Centrica
China Petrochemical Development Corp.
China Shenhua Energy
CNOOC
ConocoPhillips
Cummins Inc.
Daikin Industries, Ltd.
The Dow Chemical Company
Duke Energy Corporation
E.ON SE
EDF
ENEL SpA
ENGIE
Eni SpA
Equinor
Exelon Corporation
Fiat Chrysler Automobiles NV
Ford Motor Company
Formosa Chemicals & Fibre Corporation
Naturgy Energy Group SA
General Electric Company
General Motors Company
Hitachi, Ltd.
Hon Hai Precision Industry
Honda Motor Co., Ltd.
International Paper Company
Koninklijke Philips NV
Korea Electric Power Corp
LafargeHolcim Ltd
Lockheed Martin Corporation
Lukoil OAO
LyondellBasell Industries N.V.
Nestlé
Nissan Motor Co., Ltd.
OMV AG
PACCAR Inc
Panasonic Corporation
PepsiCo, Inc.
PETROCHINA Company Limited
Petróleo Brasileiro SA - Petrobras
Koninklijke Philips NV
PJSC Gazprom
POSCO
Procter & Gamble Company
PTT
Repsol
Rio Tinto
Royal Dutch Shell
Sasol Limited
Siemens AG
Suncor Energy Inc.
Suzuki Motor Corporation
Teck Resources Limited
The Southern Company
thyssenkrupp AG
Toray Industries, Inc.
Total
Toyota Motor Corporation
Raytheon Company
Vale
Vedanta Resources PLC
Volkswagen AG
AGL Energy
Air France - KLM
American Airlines Group Inc
Bunge
CEMEX
CEZ
Colgate Palmolive Company
Saint-Gobain
CRH Plc
Danone
Delta Air Lines
Devon Energy Corporation
Dominion Energy
Eskom
FirstEnergy Corporation
Fortum Oyj
HeidelbergCement AG
Iberdrola SA
Air Liquide
National Grid PLC
NRG Energy Inc
Origin Energy
PPL Corporation
Renault
RWE AG
SSAB
SSE
The AES Corporation
The Coca-Cola Company
TC Energy
Unilever plc
United Airlines Holdings
Walmart, Inc.
WEC Energy Group
Weyerhaeuser Company
Woodside Petroleum
Woolworths Limited
Xcel Energy Inc.
