"";"company_name";"account_id";"incorporation_country";"Scope";"Target reference number";"% emissions in Scope";"Targeted % reduction from base year";"Base year";"Start year";"Base year emissions covered by target (metric tons CO2e)";"Target year";"Base year emissions (100% of scope)";"Base year emissions (100% of scope, excl. scope 3)";"MRY emissions (100% of scope)";"MRY emissions (100% of scope, excl. scope 3)";"target_type";"fin_sector"
"1";"Banco Santander";1441;"EU";"Scope 1+2 (location-based) +3 (downstream)";"Abs 1";100;9;2015;2016;427737;2018;285450;437443;NA;NA;"absolute";"fin"
"2";"REFINITIV";839907;"United Kingdom";"Scope 1+2 (location-based) +3 (downstream)";"Abs 1";100;8;2010;2010;622771;2018;NA;NA;151337,81;NA;"absolute";"fin"
"3";"Eurazeo";5921;"EU";"Scope 1+2 (location-based) +3 (downstream)";"Int 1";99;NA;2014;2014;NA;2020;NA;47;127,34;NA;"intensity";"fin"
"4";"Gecina";7139;"EU";"Scope 1+2 (location-based) +3 (downstream)";"Int 1";100;48;2014;2017;0,026;2030;30632;20389;64241;19536;"intensity";"fin"
"5";"Great Portland Estates";7702;"United Kingdom";"Scope 1+2 (market-based) +3 (downstream)";"Int 1";100;69;2016;2019;19502;2030;3016;NA;2569;NA;"intensity";"fin"
"6";"Hiscox";8377;"Bermuda";"Scope 1+2 (market-based) +3 (downstream)";"Int 2";100;20;2014;2013;3,68;2020;NA;NA;1631;NA;"intensity";"fin"
"7";"Unibail-Rodamco-Westfield";19789;"EU";"Scope 1+2 (market-based) +3 (downstream)";"Int 1";100;70;2015;2016;0,062;2030;NA;158012;3142270;130540;"intensity";"fin"
"8";"SL Green Realty Corp.";40413;"USA";"Scope 1+2 (location-based) +3 (downstream)";"Int 1";100;30;2012;2017;0,009302173;2025;NA;129257;154285;104669;"intensity";"fin"
