"Nr_companies";"Nr_targets";"MRY_inventory";"MRY_target";"primary_industry";"source_year";"Unit"
1706;2433;3182.80571186463;6852.11330221;"Total";2021;"MtCO2eq"
54;58;4.8568139008;6.35276873;"Apparel";2021;"MtCO2eq"
63;91;26.2830465136;49.35978432;"Biotech, health care & pharma";2021;"MtCO2eq"
94;134;67.5229838085;206.02053189;"Food, beverage & agriculture";2021;"MtCO2eq"
38;65;450.430088009;1099.25065296;"Fossil Fuels";2021;"MtCO2eq"
22;28;8.554371327;32.9974728;"Hospitality";2021;"MtCO2eq"
126;199;444.364930581447;455.64715521;"Infrastructure";2021;"MtCO2eq"
483;663;202.241034961281;2398.84331008;"Manufacturing";2021;"MtCO2eq"
183;242;687.663164786037;803.74796692;"Materials";2021;"MtCO2eq"
2;2;0.074856;0.074855;"Other";2021;"MtCO2eq"
46;69;810.41550954065;1084.93095038;"Power generation";2021;"MtCO2eq"
103;145;74.57879230021;160.33803308;"Retail";2021;"MtCO2eq"
434;652;176.949777755172;340.62870389;"Services";2021;"MtCO2eq"
58;85;228.870342380936;213.92111695;"Transportation services";2021;"MtCO2eq"
