"Scope_short";"account_id";"company_name";"incorporation_country";"Country/Region";"primary_sector";"primary_industry";"primary_activity";"Base year";"% reduction from base year";"Target year";"BY_EM_target";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Target coverage";"Year target was set";"Is this a science-based target?";"% of target achieved [auto-calculated]";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"S12L";8346;"Hitachi Capital Corporation";"Japan";"China, Hong Kong Special Administrative Region";"Specialized professional services";"Services";"Other financial";2016;50;2034;148.428294573643;NA;NA;2020;NA;NA;74.2141472868217;0.0158458732330141;NA;"Scope 1+2 (location-based)";1;138;138;3907;4865;NA;"8346-abs-S12L-2016-2034-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";12.7041742286751;"Scope 1+2";"S1";"S2L";"absolute";148.428294573643;148.428294573643;1;138;0.00719424460431655;1;74.2141472868217;131.936261843239;131.936261843239
"S12L";8346;"Hitachi Capital Corporation";"Japan";"Germany";"Specialized professional services";"Services";"Other financial";2016;50;2034;323.552325581396;NA;NA;2020;NA;NA;161.776162790698;0.0345417236662107;NA;"Scope 1+2 (location-based)";15;288;288;3907;4865;NA;"8346-abs-S12L-2016-2034-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";12.7041742286751;"Scope 1+2";"S1";"S2L";"absolute";323.552325581396;323.552325581396;15;288;0.0495049504950495;1;161.776162790698;287.602067183463;287.602067183463
"S12L";8346;"Hitachi Capital Corporation";"Japan";"Indonesia";"Specialized professional services";"Services";"Other financial";2016;50;2034;918.333333333333;NA;NA;2020;NA;NA;459.166666666667;0.0980392156862745;NA;"Scope 1+2 (location-based)";397;463;463;3907;4865;NA;"8346-abs-S12L-2016-2034-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";12.7041742286751;"Scope 1+2";"S1";"S2L";"absolute";918.333333333333;918.333333333334;397;463;0.461627906976744;1;459.166666666667;816.296296296297;816.296296296297
"S12L";8346;"Hitachi Capital Corporation";"Japan";"Japan";"Specialized professional services";"Services";"Other financial";2016;50;2034;3476.8527131783;NA;NA;2020;NA;NA;1738.42635658915;0.371181030551756;NA;"Scope 1+2 (location-based)";894;2362;2362;3907;4865;NA;"8346-abs-S12L-2016-2034-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";12.7041742286751;"Scope 1+2";"S1";"S2L";"absolute";3476.8527131783;3476.8527131783;894;2362;0.274570024570025;1;1738.42635658915;3090.53574504738;3090.53574504738
"S12L";8346;"Hitachi Capital Corporation";"Japan";"Malaysia";"Specialized professional services";"Services";"Other financial";2016;50;2034;166.581395348838;NA;NA;2020;NA;NA;83.2906976744186;0.0177838577291382;NA;"Scope 1+2 (location-based)";27;129;129;3907;4865;NA;"8346-abs-S12L-2016-2034-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";12.7041742286751;"Scope 1+2";"S1";"S2L";"absolute";166.581395348838;166.581395348837;27;129;0.173076923076923;1;83.2906976744186;148.072351421189;148.072351421189
"S12L";8346;"Hitachi Capital Corporation";"Japan";"Netherlands";"Specialized professional services";"Services";"Other financial";2016;50;2034;1136.17054263566;NA;NA;2020;NA;NA;568.085271317829;0.121295029639763;NA;"Scope 1+2 (location-based)";960;104;104;3907;4865;NA;"8346-abs-S12L-2016-2034-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";12.7041742286751;"Scope 1+2";"S1";"S2L";"absolute";1136.17054263566;1136.17054263566;960;104;0.902255639097744;1;568.085271317829;1009.9293712317;1009.9293712317
"S12L";8346;"Hitachi Capital Corporation";"Japan";"Poland";"Specialized professional services";"Services";"Other financial";2016;50;2034;1089.18604651163;NA;NA;2020;NA;NA;544.593023255814;0.116279069767442;NA;"Scope 1+2 (location-based)";984;36;36;3907;4865;NA;"8346-abs-S12L-2016-2034-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";12.7041742286751;"Scope 1+2";"S1";"S2L";"absolute";1089.18604651163;1089.18604651163;984;36;0.964705882352941;1;544.593023255814;968.165374677003;968.165374677003
"S12L";8346;"Hitachi Capital Corporation";"Japan";"Singapore";"Specialized professional services";"Services";"Other financial";2016;50;2034;69.4089147286822;NA;NA;2020;NA;NA;34.7044573643411;0.00740994072047424;NA;"Scope 1+2 (location-based)";0;65;65;3907;4865;NA;"8346-abs-S12L-2016-2034-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";12.7041742286751;"Scope 1+2";"S1";"S2L";"absolute";69.4089147286822;69.4089147286822;0;65;0;1;34.7044573643411;61.696813092162;61.696813092162
"S12L";8346;"Hitachi Capital Corporation";"Japan";"Thailand";"Specialized professional services";"Services";"Other financial";2016;50;2034;148.428294573643;NA;NA;2020;NA;NA;74.2141472868217;0.0158458732330141;NA;"Scope 1+2 (location-based)";88;51;51;3907;4865;NA;"8346-abs-S12L-2016-2034-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";12.7041742286751;"Scope 1+2";"S1";"S2L";"absolute";148.428294573643;148.428294573643;88;51;0.633093525179856;1;74.2141472868217;131.936261843239;131.936261843239
"S12L";8346;"Hitachi Capital Corporation";"Japan";"United Kingdom of Great Britain and Northern Ireland";"Specialized professional services";"Services";"Other financial";2016;50;2034;1178.88372093024;NA;NA;2020;NA;NA;589.441860465116;0.125854993160055;NA;"Scope 1+2 (location-based)";266;838;838;3907;4865;NA;"8346-abs-S12L-2016-2034-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";12.7041742286751;"Scope 1+2";"S1";"S2L";"absolute";1178.88372093024;1178.88372093023;266;838;0.240942028985507;1;589.441860465116;1047.89664082687;1047.89664082687
