"company_name";"incorporation_country";"Country/Region";"primary_sector";"primary_industry";"primary_activity";"Base year";"% reduction from base year";"Target year";"Base year emissions covered by target (metric tons CO2e)";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Scope_short";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"Murray & Roberts Holdings Limited";"South Africa";"South Africa";"Construction";"Infrastructure";"Transportation infrastructure & other construction";2015;25;2020;5452;73940;NA;2017;66274;NA;1079.47959385989;0.791987963213416;7;"Scope 1+2 (location-based)";46366.59;12193;12193;54249;19691;19691;"12622-abs-S12L-2015-2020-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";4317.91837543954;4317.91837543956;46366.59;12193;0.791784744394556;1;3238.43878157967;3886.1265378956;52488.2102740059
"Murray & Roberts Holdings Limited";"South Africa";"South Africa";"Construction";"Infrastructure";"Transportation infrastructure & other construction";2016;25;2020;6937;23785.7;NA;2017;25180;NA;811.212850578289;0.467760040696721;29;"Scope 2 (location-based)";37380.18;11126;11126;50754.87;23785.7;23785.7;"12622-abs-S2L-2016-2020-1";"S2L";"Scope 2";"";"S2L";"absolute";3244.85140231315;3244.85140231316;0;11126;0;1;2433.63855173487;3042.04818966858;11778.1978247434
"Nestlé";"Switzerland";"South Africa";"Food & beverage processing";"Food, beverage & agriculture";"Dairy & egg products";2014;12;2020;7662007;NA;NA;2017;6540418;NA;NA;0.0356874609859444;100;"Scope 1 +2 (market-based)";147978;123755;123755;3814214;3800029;3800029;"12942-abs-S12M-2014-2020-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";273437.575886533;273437.575886533;147978;123755;0.544571325529104;1;240625.066780149;257031.321333341;233410.912206768
"Nestlé";"Switzerland";"South Africa";"Food & beverage processing";"Food, beverage & agriculture";"Dairy & egg products";2010;50;2050;118214006;NA;NA;2017;NA;NA;2289942.72188307;0.0387423250318252;100;"Other, please specify: Scope 1+2(market-based)+3";158478;94859;94913;3532062;3639042;3008356;"12942-abs-S12M3-2010-2050-1";"S12M3";"Scope 1+2+3";"S1";"S2M";"absolute";4579885.44376613;4579885.44376614;158478;94913;0.625428685312422;1;2289942.72188307;4179145.4674366;4179145.4674366
"Nestlé";"Switzerland";"South Africa";"Food & beverage processing";"Food, beverage & agriculture";"Dairy & egg products";2014;8;2020;111228768;NA;NA;2017;NA;NA;NA;NA;100;"Other, please specify: Scope 3";147978;123755;123755;3814214;3800029;3800029;"12942-abs-S3-2014-2020-1";"S3";"Scope 3";"";"";"absolute";NA;NA;0;0;0;1;NA;NA;NA
"NH Hotel Group";"Spain";"South Africa";"Bars, hotels & restaurants";"Hospitality";"Hotels & lodging";2007;70;2030;123640;NA;NA;2017;100293;NA;951.626396199769;0.0109953597564331;100;"Scope 1+2 (location-based)";0;1199;1199;10903;98143;98143;"13161-abs-S12L-2007-2030-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";1359.46628028539;1359.46628028538;0;1199;0;1;407.839884085615;945.715673242006;1102.75761605194
"NH Hotel Group";"Spain";"South Africa";"Bars, hotels & restaurants";"Hospitality";"Hotels & lodging";2016;36;2019;49069;88124.05;NA;2017;45856;NA;604.203174761033;0.0342037162386431;100;"Scope 1 +2 (market-based)";0;3014.17;3014.17;75003;13121.05;13121.05;"13161-abs-S12M-2016-2019-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";1678.34215211398;1678.34215211398;0;3014.17;0;1;1074.13897735295;1476.9410938603;1568.44561183922
"Nissan Motor Co., Ltd.";"Japan";"South Africa";"Transportation equipment";"Manufacturing";"Automobiles";2000;5;2030;135000000;NA;NA;2018;195517342;3476342;1337.65309403067;0.0111455759238346;100;"Scope 1+2 (location-based) +3 (downstream)";35301;27893;27893;4082270;1587603;1587603;"13363-abs-S12L3-2000-2030-1";"S12L3";"Scope 1+2+3";"S1";"S2L";"absolute";1504652.74971767;26753.0618806134;35301;27893;0.558613159477165;0.0177802233011126;25415.4087865827;25950.470024195;38745.833698215
"Nissan Motor Co., Ltd.";"Japan";"South Africa";"Transportation equipment";"Manufacturing";"Automobiles";2000;50;2050;135000000;NA;NA;2018;195517342;3476342;13376.5309403067;0.0111455759238346;100;"Scope 1+2 (location-based) +3 (downstream)";35301;27893;27893;4082270;1587603;1587603;"13363-abs-S12L3-2000-2050-1";"S12L3";"Scope 1+2+3";"S1";"S2L";"absolute";1504652.74971767;26753.0618806134;35301;27893;0.558613159477165;0.0177802233011126;13376.5309403067;21937.510742103;38745.833698215
"Pearson";"United Kingdom of Great Britain and Northern Ireland";"South Africa";"Specialized professional services";"Services";"Other professional services";2009;50;2020;210306;175044;NA;2017;76738;NA;14563.4808462561;0.138498006202924;100;"Scope 1+2 (location-based)";183.02;10445.04;10445.04;15691;61047;54946.46;"14526-abs-S12L-2009-2020-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";29126.9616925121;29126.9616925122;183.02;10445.04;0.0172204522744508;1;14563.4808462561;18535.3392588714;10628.06
