"company_name";"incorporation_country";"Country/Region";"sectors";"industries";"activities";"Base year";"% reduction from base year";"Target year";"Base year emissions covered by target (metric tons CO2e)";"BY_EM_100";"BY_EM_100_excl_scope3";"Inventory accounting year";"Inventory reporting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"T_ID";"Scope_short";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_excl_scope3_interpolated";"MRY_excl_scope3"
"Carlsberg Breweries A/S";"Denmark";"Finland";"Food & beverage processing";"Food, beverage & agriculture";"Alcoholic beverages";2015;30;2030;6100000;945562;833329;2017;2018;8718009;697640;1050.81102806845;0.00717562066395276;100;"Scope 1+2 (market-based) +3 (upstream & downstream)";5006;4436;0;"2797-abs-S12M3-2015-2030-1";"S12M3";"Scope 1+2+3";"S1";"S2M";"absolute";43771.2860501118;3502.70342689483;5006;0;1;0.881305509316153;2451.89239882638;3362.59528981904;5006
"Citycon Oyj";"Finland";"Finland";"Land & property ownership & development";"Infrastructure";"Real estate owners & developers";2014;20;2020;78759;78298;NA;2017;2018;44833;NA;8397.46998416345;0.533111770347735;95;"Scope 1 +2 (market-based)";0;25146;23901;"3387-abs-S12M-2014-2020-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";41987.3499208173;41987.3499208173;0;23901;0;1;33589.8799366538;37788.6149287355;23901
"Citycon Oyj";"Finland";"Finland";"Land & property ownership & development";"Infrastructure";"Real estate owners & developers";2014;100;2030;79538;NA;78298;2017;2018;46231;44833;41120.4113689948;0.533111770347735;80;"Scope 1+2 (market-based) +3 (upstream)";0;25146;23901;"3387-abs-S12M3-2014-2030-1";"S12M3";"Scope 1+2+3";"S1";"S2M";"absolute";42402.6439899181;41120.4113689948;0;23901;0;0.969760550280115;0;33410.3342373083;23901
"Dentsu Inc.";"Japan";"Finland";"Land & property ownership & development, Specialized professional services, Web & marketing services";"Infrastructure, Services";"Marketing, Other professional services, Real estate owners & developers";2004;30;2030;22676;28665.92;NA;2017;2018;58007.24;NA;3.75280051248775;0.000551655276134496;100;"Scope 1+2 (location-based)";22;10;0;"4564-abs-S12L-2004-2030-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";12.5093350416258;12.5093350416258;22;10;0.6875;1;8.75653452913808;10.632934785382;32
"Elisa Oyj";"Finland";"Finland";"Media, telecommunications & data center services";"Services";"Telecommunications services";2016;50;2025;13142;13142;NA;2016;2017;4813.21;NA;5342.26775867661;0.813006811547194;95;"Scope 1 +2 (market-based)";0;55289.2;12532.5;"5400-abs-S12M-2016-2025-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";10684.5355173532;10684.5355173532;0;12532.5;0;1;5342.26775867661;10684.5355173532;3913.17251540707
"Elisa Oyj";"Finland";"Finland";"Media, telecommunications & data center services";"Services";"Telecommunications services";2016;100;2050;13142;13142;NA;2016;2017;4813.21;NA;10684.5355173532;0.813006811547194;95;"Scope 1 +2 (market-based)";0;55289.2;12532.5;"5400-abs-S12M-2016-2050-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";10684.5355173532;10684.5355173532;0;12532.5;0;1;0;10684.5355173532;3913.17251540707
"Ericsson";"Sweden";"Finland";"Electrical & electronic equipment, IT & software development, Specialized professional services";"Manufacturing, Services";"Communications equipment, IT services, Other professional services, Software";2016;35;2022;260000;259552;NA;2016;2017;230000;NA;486.299153136631;0.00534394673776517;100;"Scope 1+2 (location-based)";0;1387;0.3;"5811-abs-S12L-2016-2022-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";1389.42615181894;1389.42615181895;0;1387;0;1;903.126998682315;1389.42615181895;1229.10774968599
"Finnair";"Finland";"Finland";"Air transport, Entertainment services";"Hospitality, Transportation services";"Air freight, Entertainment services, Passenger airlines";2005;50;2050;1860000;NA;NA;2017;2018;2903408;NA;930000;1;100;"Scope 1";2903408;13139;19292;"6332-abs-S1-2009-2050-1";"S1";"Scope 1";"S1";"";"absolute";1860000;1860000;2903408;0;1;1;930000;1612000;2903408
"Geberit AG";"Switzerland";"Finland";"Other materials";"Materials";"Ceramics, Other non-wood building materials";2015;6;2021;257909;257909;NA;2015;2016;242796;NA;773.019219663525;0.0499542616235135;100;"Scope 1+2 (location-based)";9106;3454;0;"7119-abs-S12L-2015-2021-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";12883.6536610587;12883.6536610588;9106;3454;0.725;1;12110.6344413952;12883.6536610588;12128.6949051426
"General Electric Company";"United States of America";"Finland";"Electrical & electronic equipment, Financial services, Industrial support services, Medical equipment & supplies, Powered machinery, Renewable energy equipment, Transportation equipment";"Biotech, health care & pharma, Manufacturing, Services";"Banks, Electrical equipment, Energy services & equipment, Engines & motors, Industrial machinery, Medical equipment, Other renewable energy equipment, Railroad rolling stock";2011;20;2020;5199588;5199588;NA;2017;2018;3777485;NA;1210.87908055227;0.00116439906445691;100;"Scope 1 +2 (market-based)";703.4;3659.1;3695.1;"7166-abs-S12M-2011-2020-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";6054.39540276138;6054.39540276135;703.4;3695.1;0.159918153916108;1;4843.51632220908;5247.14268239317;4398.50000000001
"JCDecaux SA.";"France";"Finland";"Web & marketing services";"Services";"Marketing";2012;15;2020;187978;206418;NA;2017;2018;240162;NA;148.050227346541;0.00525062249648154;91;"Scope 2 (location-based)";124;1261;746;"9731-abs-S2L-2012-2020-1";"S2L";"Scope 2";"";"S2L";"absolute";987.001515643607;987.001515643607;0;1261;0;1;838.951288297066;894.470123552019;1261
"Kesko Corporation";"Finland";"Finland";"Convenience retail, Discretionary retail";"Retail";"Apparel stores, Specialist retail, Supermarkets, food & drugstores";2015;21;2025;42187;43302;NA;2017;2018;48219;NA;7074.70189385927;0.798564881063481;97.4;"Scope 1";38506;146228;55004;"10095-abs-S1-2015-2025-1";"S1";"Scope 1";"S1";"";"absolute";33689.0566374251;33689.0566374251;38506;0;1;1;26614.3547435658;32274.1162586532;38506
"Kesko Corporation";"Finland";"Finland";"Convenience retail, Discretionary retail";"Retail";"Apparel stores, Specialist retail, Supermarkets, food & drugstores";2015;17;2025;70532;144436;NA;2017;2018;82421;NA;8001.87041846132;0.667354193712767;100;"Scope 2 (market-based)";38506;146228;55004;"10095-abs-S2M-2015-2025-1";"S2M";"Scope 2";"";"S2M";"absolute";47069.8259909489;47069.8259909489;0;55004;0;1;39067.9555724876;45469.4519072567;55004
"Kingspan Group PLC";"Ireland";"Finland";"Cement & concrete, Non-energy utilities, Other materials";"Infrastructure, Materials";"Concrete products, Other non-wood building materials, Waste management";2017;10;2025;381282;373639;NA;2017;2018;373639;NA;97.8616894917286;0.00256664855649437;100;"Scope 1 +2 (market-based)";655;719;304;"10162-abs-S12M-2017-2025-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";978.616894917286;978.616894917286;655;304;0.683003128258603;1;880.755205425557;978.616894917286;959
"L'Oréal";"France";"Finland";"Chemicals";"Manufacturing";"Personal care & household products";2016;100;2025;120450;120450;NA;2016;2017;101838;NA;0;0;100;"Scope 1 +2 (market-based)";0;13;0;"10389-abs-S12M-2016-2025-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";0;0;0;0;0;1;0;0;0
"L'Oréal";"France";"Finland";"Chemicals";"Manufacturing";"Personal care & household products";2016;25;2030;9880648;8039244;120450;2016;2017;9743556;101838;0;0;100;"Scope 1+2 (market-based) +3 (upstream & downstream)";0;13;0;"10389-abs-S12M3-2016-2030-1";"S12M3";"Scope 1+2+3";"S1";"S2M";"absolute";0;0;0;0;0;0.0149827521095267;0;0;0
"L'Oréal";"France";"Finland";"Chemicals";"Manufacturing";"Personal care & household products";2016;60;2020;39879;NA;NA;2016;2017;NA;NA;0;0;98;"Other, please specify: Scope 1+Scope 2 (Admin & Research sites)";0;13;0;"10389-abs-S12X-2016-2020-1";"S12X";"Scope 1+2";"S1";"max";"absolute";0;0;0;13;0;1;0;0;0
"Lassila & Tikanoja";"Finland";"Finland";"Commercial & consumer services, Non-energy utilities, Renewable power generation";"Infrastructure, Power generation, Services";"Biomass generation, Commercial services, Waste management";2012;25;2020;76327;NA;51227;2017;2018;59791;44892;12837.1211720828;0.896017107725207;100;"Scope 1+2 (market-based) +3 (upstream)";38319;7351;1905;"10492-abs-S12M3-2012-2020-1";"S12M3";"Scope 1+2+3";"S1";"S2M";"absolute";68390.2977813419;51348.4846883312;38319;1905;0.952640214797136;0.750815340101353;38511.3635162484;43325.2839557795;40224
"Lerøy Seafood Group";"Norway";"Finland";"Food & beverage processing, Trading, wholesale, distribution, rental & leasing";"Food, beverage & agriculture, Services";"Animal products wholesale, Dealers, wholesalers & distributors, Seafood processing";2014;5;2020;20898;20897;NA;2017;2018;60839.6;NA;10.8920070369628;0.0104239707502755;100;"Scope 1+2 (location-based)";231;1434;0;"10632-abs-S12L-2014-2020-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";217.840140739257;217.840140739256;231;1434;0.138738738738739;1;206.948133702293;212.394137220775;634.190210858461
"Lexmark International, Inc.";"United States of America";"Finland";"Electrical & electronic equipment";"Manufacturing";"Communications equipment, Electronic equipment";2015;10;2020;122938;122938;NA;2015;2016;115244;NA;1.16564635505074;0.0000948157896704628;98;"Scope 1+2 (location-based)";0;12.68;0;"10666-abs-S12L-2015-2020-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";11.6564635505074;11.6564635505074;0;12.68;0;1;10.4908171954567;11.6564635505074;10.9269508647828
