"Scope_short";"account_id";"company_name";"incorporation_country";"Country/Region";"primary_sector";"primary_industry";"primary_activity";"Base year";"% reduction from base year";"Target year";"BY_EM_target";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Target coverage";"Year target was set";"Is this a science-based target?";"% of target achieved [auto-calculated]";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"S12L";4192;"MIRAE ASSET DAEWOO CO., LTD";"Republic of Korea";"Republic of Korea";"Financial services";"Services";"Banks";2015;22.9;2021;14328;14328;NA;2019;11047;NA;3281.112;1;100;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"4192-abs-S12L-2015-2021-1";"Company-wide";2015;"No, but we anticipate setting one in the next 2 years";99.9965865231056;"Scope 1+2";"S1";"S2L";"absolute";14328;14328;NA;NA;0.4;1;11046.888;12140.592;11047
"S12L";4830;"American Sugar Refining, Inc.";"United States of America";"United States of America";"Food & beverage processing";"Food, beverage & agriculture";"Sugar";2012;50;2030;NA;NA;NA;2019;NA;NA;NA;1;90;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"4830-abs-S12L-2012-2030-1";"Company-wide";2012;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";NA;"Scope 1+2";"S1";"S2L";"absolute";NA;0;NA;NA;0.4;1;NA;NA;0
"S12L";5921;"Eurazeo";"France";"France";"Financial services";"Services";"Asset managers";2017;42;2030;182.2;134.73;NA;2019;111.17;NA;NA;1;100;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"5921-abs-S12L-2017-2030-1";"Company-wide";2020;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";55.0154199989546;"Scope 1+2";"S1";"S2L";"absolute";182.2;182.2;NA;NA;0.4;1;105.676;170.427076923077;111.17
"S12L";6285;"Fifth Third Bancorp";"United States of America";"United States of America";"Financial services";"Services";"Banks";2014;25;2022;152847;152847;NA;2019;92650;NA;NA;1;100;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"6285-abs-S12L-2014-2022-1";"Company-wide";2016;"No, but we anticipate setting one in the next 2 years";157.535313090869;"Scope 1+2";"S1";"S2L";"absolute";152847;152847;NA;NA;0.4;1;114635.25;128964.65625;92650
"S12L";6851;"Fubon Financial Holdings";"Taiwan, Greater China";"Taiwan, Greater China";"Financial services";"Services";"Insurance";2017;10;2027;51721.25;51721.25;NA;2019;48965.23;NA;5172.125;1;100;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"6851-abs-S12L-2017-2027-1";"Company-wide";2019;"No, but we anticipate setting one in the next 2 years";53.8244918674627;"Scope 1+2";"S1";"S2L";"absolute";51721.25;51721.25;NA;NA;0.4;1;46549.125;50686.825;48965.23
"S12L";7331;"GIGA-BYTE TECHNOLOGY CO.,LTD";"Taiwan, Greater China";"Taiwan";"Electrical & electronic equipment";"Manufacturing";"Computer hardware";2009;40;2020;48957.14;48957.14;NA;2019;28458.54;NA;19582.856;1;100;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"7331-abs-S12L-2009-2020-1";"Company-wide";2010;"No, but we anticipate setting one in the next 2 years";104.676253555661;"Scope 1+2";"S1";"S2L";"absolute";48957.14;48957.14;NA;NA;0.4;1;29374.284;31154.5436363636;28458.54
"S12L";7576;"Godrej Industries";"India";"India";"Chemicals";"Materials";"Other base chemicals";2010;100;2021;119882;NA;NA;2020;76672;NA;119882;1;100;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"7576-abs-S12L-2010-2021-1";"Business division";2010;"No, but we anticipate setting one in the next 2 years";36.0433759863866;"Scope 1+2";"S1";"S2L";"absolute";119882;119882;NA;NA;0.4;1;0;10898.3636363636;76672
"S12M";8082;"Hannover Rück SE";"Germany";"Germany";"Financial services";"Services";"Insurance";2007;100;2020;4031;4031;NA;2019;NA;NA;NA;1;100;"Scope 1+2 (market-based)";NA;4033;NA;NA;4033;NA;"8082-abs-S12M-2007-2020-1";"Country/region";2007;"No, and we do not anticipate setting one in the next 2 years";100;"Scope 1+2";"S1";"S2M";"absolute";4031;4031;NA;NA;0.4;1;0;310.076923076923;310.076923076923
"S1";8670;"Huntington Bancshares Incorporated";"United States of America";"United States of America";"Financial services";"Services";"Banks";2017;31;2022;14341;14341;NA;2019;13828;NA;4445.71;1;100;"Scope 1";NA;NA;NA;NA;NA;NA;"8670-abs-S1-2017-2022-1";"Company-wide";2019;"No, but we anticipate setting one in the next 2 years";14.7333046914891;"Scope 1";"S1";"";"absolute";14341;14341;NA;0;1;1;9895.29;12562.716;13828
"S1";8670;"Huntington Bancshares Incorporated";"United States of America";"United States of America";"Financial services";"Services";"Banks";2017;41;2037;14341;14341;NA;2019;13828;NA;5879.81;1;100;"Scope 1";NA;NA;NA;NA;NA;NA;"8670-abs-S1-2017-2037-1";"Company-wide";2019;"No, but we anticipate setting one in the next 2 years";11.1398157423454;"Scope 1";"S1";"";"absolute";14341;14341;NA;0;1;1;8461.19;13753.019;13828
