"source_year";"value";"Sector";"Unit"
2021;1595.448515403;"Oil & gas extraction & production";"MtCO2eq"
2021;7806.839002673;"Oil & gas processing";"MtCO2eq"
2021;224.69030104;"Oil & gas retailing";"MtCO2eq"
2021;682.659143776;"Oil & gas storage & transportation";"MtCO2eq"
2021;6.474647;"Other";"MtCO2eq"
2021;3779.518211098;"Other materials";"MtCO2eq"
2021;52.08883289;"Other mineral mining";"MtCO2eq"
2021;62.709635463;"Other services";"MtCO2eq"
2021;880.077937149;"Paper products & packaging";"MtCO2eq"
2021;167.053388946;"Plastic product manufacturing";"MtCO2eq"
2021;4957.46962136;"Powered machinery";"MtCO2eq"
2021;36.069052228;"Print & publishing services";"MtCO2eq"
2021;237.40449;"Questionnaire sector";"MtCO2eq"
2021;656.619433626;"Rail transport";"MtCO2eq"
2021;21.394234662;"Renewable energy equipment";"MtCO2eq"
2021;2147.751693014;"Renewable power generation";"MtCO2eq"
2021;57232.746711105;"Road transport";"MtCO2eq"
2021;694.464156886;"Specialized professional services";"MtCO2eq"
2021;209.501089228;"Textiles & fabric goods";"MtCO2eq"
2021;18885.289665165;"Thermal power generation";"MtCO2eq"
2021;60.141911292;"Tobacco";"MtCO2eq"
2021;767.253753592;"Trading, wholesale, distribution, rental & leasing";"MtCO2eq"
2021;707.641401138;"Transportation equipment";"MtCO2eq"
2021;28.60266427;"Web & marketing services";"MtCO2eq"
2021;624.54562234;"Wood & paper materials";"MtCO2eq"
2021;15.170579048;"Wood & rubber products";"MtCO2eq"
