"account_id";"Target reference number";"check_percent_alloc_S1";"check_percent_alloc_S2L";"check_percent_alloc_S2M"
135;"Abs 3";1;0.0940033988832241;0.0940033988832241
135;"Abs 5";1;0.0940033988832241;0.0940033988832241
220;"Abs 2";0.471628586766627;751.491190357887;NA
528;"Abs 1";0.992366783352781;1.11942538261782;NA
1198;"Abs 2";0.677289048473968;1.00034002040122;NA
1213;"Abs 1";0.896321649484536;0.850058627997289;NA
1287;"Abs 1";0.827303975642177;0.682421907067865;NA
1287;"Abs 2";0.827303975642177;0.682421907067865;NA
3253;"Abs 1";0;0.00000222353987548177;NA
3253;"Abs 2";0;0.00000222353987548177;NA
3310;"Abs 1";1;0.520883423999814;0
4564;"Abs 1";0.862417435876065;0.931431470396248;NA
4564;"Abs 3";0.862417435876065;0.931431470396248;NA
4702;"Abs 1";0.999987589452897;1.10254128142571;NA
5021;"Abs 1";2;NA;NA
5025;"Abs 1";0.997202931327968;1.29255466705262;0
5194;"Abs 3";1;0.802522989860882;NA
5574;"Abs 1";1.00014511493664;1.40151480637813;NA
5811;"Abs 4";NA;1.96065794392523;2.51748603696099
7119;"Abs 1";1.30401649436467;0.999982482416726;NA
7690;"Abs 1";0.866411957906026;1.00004976486103;1.00004976486103
7690;"Abs 2";0.866411957906026;1.00004976486103;1.00004976486103
8338;"Abs 1";0.896157071467689;1.2475980166873;NA
8338;"Abs 2";0.896157071467689;1.2475980166873;NA
8566;"Abs 1";1;1.4962962962963;NA
8708;"Abs 1";1;1;0.578717358856652
8708;"Abs 2";1;1;0.578717358856652
8833;"Abs 1";1.0015759223781;0.911791918000816;0.891405413106917
9548;"Abs 1";1.04796291594971;1.18197573656846;NA
9871;"Abs 1";0.889528759615868;1.00000008829116;1.00000039707446
9995;"Abs 1";1;1.00000067318172;0.879944263721692
9995;"Abs 2";1;1.00000067318172;0.879944263721692
10629;"Abs 1";1.00004930156122;0.14140900374395;7.07124408092983
10668;"Abs 1";1;1;0.319750637324963
10668;"Abs 2";1;1;0.319750637324963
10668;"Abs 3";1;1;0.319750637324963
12268;"Abs 1";0.240417688628984;1;0.99999866128324
12798;"Abs 1";1;1;1.10296837719087
12798;"Abs 2";1;1;1.10296837719087
12832;"Abs 2";1;0.828571428571429;NA
12832;"Abs 3";1;0.828571428571429;NA
12832;"Abs 4";1;0.828571428571429;NA
13322;"Abs 1";0.051684860855461;0.225811396135361;NA
13521;"Abs 3";NA;0.830794866477286;1.00128410028409
13649;"Abs 1";1.00000004458276;0.852092523364486;NA
13889;"Abs 1";0.973070290404911;NA;0.342689263341912
13889;"Abs 3";0.973070290404911;NA;0.342689263341912
16158;"Abs 1";3.70071064326527;3.52111155097621;NA
16158;"Abs 4";0;998.757515271445;998.085729052748
16735;"Abs 2";3;3;3
16735;"Abs 3";3;3;3
17334;"Abs 1";0.970806107413342;1.53388601692191;0.533886266120446
17334;"Abs 2";0.970806107413342;1.53388601692191;0.533886266120446
17897;"Abs 1";1.00002092882108;NA;0.129841401777694
17897;"Abs 2";1.00002092882108;NA;0.129841401777694
17899;"Abs 1";1.10948912873663;1.11273657021908;NA
18427;"Abs 1";1.00001045183273;1.00000052404584;3.31345853857637
18427;"Abs 2";1.00001045183273;1.00000052404584;3.31345853857637
18427;"Abs 3";1.00001045183273;1.00000052404584;3.31345853857637
19290;"Abs 4";2.52027491408935;1.65777576853526;NA
19569;"Abs 1";1.85998798748254;2;NA
19794;"Abs 1";1;0.493135228018594;NA
19794;"Abs 2";1;0.493135228018594;NA
