"account_id";"company_name";"primary_industry";"Scope";"% emissions in Scope";"BY_covered";"BY_Scope_exclS3";"BY_Scope";"MRY_Scope";"MRY_Scope_exclS3";"MRY_Covered";"% reduction from base year";"Target year";"Target status";"Target coverage";"MRY_inventory";"MRY_target";"TargetActive";"Quantifiable";"Scope1_2";"Full_coverage";"Include"
276;"A.P. Moller - Maersk";"Transportation services";"Scope 1";100;29436877;NA;38452000;33902000;NA;32184089;100;2050;"Underway";"Business activity";33902000;32184089;TRUE;TRUE;TRUE;TRUE;TRUE
282;"ABB";"Manufacturing";"Scope 1+2 (market-based)";100;1167004;NA;1560000;560817;NA;487410;40;2020;"Achieved";"Company-wide";560817;487410;FALSE;TRUE;TRUE;TRUE;FALSE
282;"ABB";"Manufacturing";"Scope 1+2 (market-based)";100;680257;NA;997903;560817;NA;560818;80;2030;"Underway";"Company-wide";560817;560818;TRUE;TRUE;TRUE;TRUE;TRUE
285;"3M Company";"Materials";"Scope 1+2 (market-based)";100;5370000;NA;5370000;4850000;NA;4850000;50;2030;"Underway";"Company-wide";4850000;4850000;TRUE;TRUE;TRUE;TRUE;TRUE
313;"ACEA SpA";"Infrastructure";"Scope 2 (location-based)";100;480000;NA;480000;392575;NA;392575;22.23;2024;"Underway";"Company-wide";392575;392575;TRUE;TRUE;TRUE;TRUE;TRUE
313;"ACEA SpA";"Infrastructure";"Scope 2 (market-based)";100;494363;NA;494363;309117;NA;309117;37.47;2020;"Achieved";"Company-wide";309117;309117;FALSE;TRUE;TRUE;TRUE;FALSE
313;"ACEA SpA";"Infrastructure";"Scope 2 (market-based)";100;494363;NA;235812;309117;NA;309117;57.7;2024;"Underway";"Company-wide";309117;309117;TRUE;TRUE;TRUE;TRUE;TRUE
316;"Acer Inc.";"Manufacturing";"Scope 1+2 (market-based)";100;32144.42;NA;32144.42;12199;NA;12199.38;60;2020;"Achieved";"Company-wide";12199;12199.38;FALSE;TRUE;TRUE;TRUE;FALSE
316;"Acer Inc.";"Manufacturing";"Scope 1+2 (market-based)";100;32144.42;NA;32144.42;12199;NA;12199.38;80;2050;"Underway";"Company-wide";12199;12199.38;TRUE;TRUE;TRUE;TRUE;TRUE
333;"Adobe";"Services";"Scope 1+2 (market-based)";100;59990;NA;59990;44382;NA;44382;35;2025;"Underway";"Company-wide";44382;44382;TRUE;TRUE;TRUE;TRUE;TRUE
334;"Advanced Micro Devices, Inc";"Manufacturing";"Scope 1+2 (location-based)";100;52183;NA;70672;47320;NA;32251;20;2020;"Achieved";"Company-wide";47320;32251;FALSE;TRUE;TRUE;TRUE;FALSE
336;"ASE Technology Holding Co., Ltd.";"Services";"Scope 1+2 (market-based)";100;1957126;NA;1957126;1752602;NA;1752602;35;2030;"Underway";"Company-wide";1752602;1752602;TRUE;TRUE;TRUE;TRUE;TRUE
351;"AGL Energy";"Power generation";"Scope 1+2 (location-based)";17.6;7706248;NA;43776410;42726651;NA;10011434;100;2024;"Underway";"Business activity";7519890.576;10011434;TRUE;TRUE;TRUE;FALSE;FALSE
351;"AGL Energy";"Power generation";"Scope 1+2 (location-based)";54.2;23731740;NA;43776410;42726651;NA;24049748;100;2037;"Underway";"Business activity";23157844.842;24049748;TRUE;TRUE;TRUE;FALSE;FALSE
351;"AGL Energy";"Power generation";"Scope 1+2 (location-based)";96.2;42121649;NA;43776410;42726651;NA;40976025;100;2050;"Underway";"Business activity";41103038.262;40976025;TRUE;TRUE;TRUE;TRUE;TRUE
362;"AFLAC Incorporated";"Services";"Scope 1+2 (market-based)";83;34607;NA;NA;12121;NA;10579;75;2030;"Underway";"Company-wide";10060.43;10579;TRUE;TRUE;TRUE;FALSE;FALSE
365;"Affiliated Managers Group";"Services";"Scope 1+2 (location-based)";100;1178.74;NA;1178.74;859;NA;859;5;2023;"Achieved";"Company-wide";859;859;TRUE;TRUE;TRUE;TRUE;TRUE
394;"Ajinomoto Co.Inc.";"Food, beverage & agriculture";"Scope 1+2 (market-based)";100;2212692;NA;2316924;1910600;NA;1910600;50;2030;"Underway";"Company-wide";1910600;1910600;TRUE;TRUE;TRUE;TRUE;TRUE
399;"Aisin Seiki Co., Ltd.";"Manufacturing";"Scope 1+2 (market-based)";100;2771751.18;NA;NA;2485008.774;NA;2485008.77;35;2030;"Underway";"Company-wide";2485008.774;2485008.77;TRUE;TRUE;TRUE;TRUE;TRUE
399;"Aisin Seiki Co., Ltd.";"Manufacturing";"Scope 1+2 (market-based)";100;2771751.18;NA;NA;2485008.774;NA;2485008.77;25;2025;"New";"Company-wide";2485008.774;2485008.77;TRUE;TRUE;TRUE;TRUE;TRUE
399;"Aisin Seiki Co., Ltd.";"Manufacturing";"Scope 1+2 (location-based) +3 (upstream & downstream)";100;15500988.46;2232053;3453595;12373393.802;2603787.802;11954614.77;25;2030;"Underway";"Company-wide";2603787.802;11954614.77;TRUE;TRUE;TRUE;TRUE;TRUE
399;"Aisin Seiki Co., Ltd.";"Manufacturing";"Scope 1+2 (market-based)";100;2771751.18;NA;NA;2485008.774;NA;2485008.77;100;2050;"Underway";"Company-wide";2485008.774;2485008.77;TRUE;TRUE;TRUE;TRUE;TRUE
403;"AIXTRON SE";"Manufacturing";"Scope 1+2 (market-based)";100;7411;NA;NA;322.84;NA;711;80;2025;"Achieved";"Company-wide";322.84;711;TRUE;TRUE;TRUE;TRUE;TRUE
427;"Air Canada";"Transportation services";"Scope 1";99;8624640;NA;8698758;5034113;NA;13170133;50;2050;"Underway";"Other, please specify: Industry target";4983771.87;13170133;TRUE;TRUE;TRUE;TRUE;TRUE
427;"Air Canada";"Transportation services";"Scope 1+2 (location-based) +3 (downstream)";100;14827335;NA;13215834;5044252;NA;5619235;100;2050;"New";"Company-wide";5044252;5619235;TRUE;TRUE;TRUE;TRUE;TRUE
429;"Air France - KLM";"Transportation services";"Scope 1";100;29703691;NA;NA;14048249;NA;14048249;50;2050;"Underway";"Company-wide";14048249;14048249;TRUE;TRUE;TRUE;TRUE;TRUE
429;"Air France - KLM";"Transportation services";"Scope 1+2 (location-based)";100;55480;NA;27688675;14066095;NA;17846;100;2030;"Underway";"Business activity";14066095;17846;TRUE;TRUE;TRUE;TRUE;TRUE
432;"Air Liquide";"Materials";"Scope 1+2 (market-based)";100;32530000;NA;32139000;32139000;NA;32530000;33;2035;"New";"Company-wide";32139000;32530000;TRUE;TRUE;TRUE;TRUE;TRUE
432;"Air Liquide";"Materials";"Scope 1+2 (market-based)";100;32530000;NA;32139000;32139000;NA;32530000;100;2050;"New";"Company-wide";32139000;32530000;TRUE;TRUE;TRUE;TRUE;TRUE
449;"AKBANK T.A.Ş.";"Services";"Scope 1+2 (market-based)";100;58068;NA;NA;NA;NA;58068;15.3;2025;"New";"Company-wide";0;58068;TRUE;TRUE;TRUE;TRUE;TRUE
454;"Akamai Technologies Inc";"Services";"Scope 1+2 (market-based)";100;190271.53;NA;91998;105138;NA;80731;50;2020;"Achieved";"Company-wide";105138;80731;FALSE;TRUE;TRUE;TRUE;FALSE
454;"Akamai Technologies Inc";"Services";"Scope 1+2 (market-based)";61.23;68238;NA;105138;105138;NA;68238;100;2030;"New";"Company-wide";64375.9974;68238;TRUE;TRUE;TRUE;FALSE;FALSE
454;"Akamai Technologies Inc";"Services";"Scope 2 (market-based)";1.17;1300;NA;144400;105100;NA;1300;100;2030;"New";"Company-wide";1229.67;1300;TRUE;TRUE;TRUE;FALSE;FALSE
454;"Akamai Technologies Inc";"Services";"Scope 2 (market-based)";37.6;41900;NA;105100;105100;NA;41900;100;2030;"New";"Company-wide";39517.6;41900;TRUE;TRUE;TRUE;FALSE;FALSE
524;"Algonquin Power & Utilities Corporation";"Infrastructure";"Scope 1+2 (location-based)";100;3220317;NA;3220317.344;2183775;NA;2183775;31.05;2023;"Achieved";"Company-wide";2183775;2183775;TRUE;TRUE;TRUE;TRUE;TRUE
528;"Alfa Laval Corporate AB";"Manufacturing";"Scope 1+2 (market-based) +3 (downstream)";100;155092;84479;NA;83468;40535;83399;15;2020;"Achieved";"Company-wide";40535;83399;FALSE;TRUE;TRUE;TRUE;FALSE
