"account_id";"company_name";"Country/Region";"primary_sector";"primary_industry";"primary_activity";"Target year";"target_type";"Scope";"Scope_short";"incorporation_country";"Base year";"% reduction from base year";"BY_EM_target";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Target coverage";"Year target was set";"Is this a science-based target?";"% of target achieved [auto-calculated]";"Scope1";"Scope2";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
45103;"AbbVie Inc";"Chile";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2025;"absolute";"Scope 1+2";"S12M";"United States of America";2015;25;159.215945218295;156.449445941007;NA;2019;134.986885691209;NA;39.8039863045738;0.000239254456221413;100;"Scope 1+2 (market-based)";116.65;42.42;42.42;317524;341919;347333;"45103-abs-S12M-2015-2025-1";"Company-wide";2016;"No, but we anticipate setting one in the next 2 years";64.533327723238;"S1";"S2M";159.215945218295;159.215945218295;116.65;42.42;0.733324951279311;1;119.411958913721;143.294350696466;134.986885691209
45103;"AbbVie Inc";"China";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2025;"absolute";"Scope 1+2";"S12M";"United States of America";2015;25;1767.36004972498;1736.65081206936;NA;2019;1498.40789300556;NA;441.840012431245;0.00265581922127615;100;"Scope 1+2 (market-based)";89.92;1675.82;1675.82;317524;341919;347333;"45103-abs-S12M-2015-2025-1";"Company-wide";2016;"No, but we anticipate setting one in the next 2 years";64.533327723238;"S1";"S2M";1767.36004972498;1767.36004972498;89.92;1675.82;0.0509248247193811;1;1325.52003729373;1590.62404475248;1498.40789300556
45103;"AbbVie Inc";"Colombia";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2025;"absolute";"Scope 1+2";"S12M";"United States of America";2015;25;387.435142233593;380.703159205664;NA;2019;328.476291653694;NA;96.8587855583983;0.000582200382939489;100;"Scope 1+2 (market-based)";331.38;55.7;55.7;317524;341919;347333;"45103-abs-S12M-2015-2025-1";"Company-wide";2016;"No, but we anticipate setting one in the next 2 years";64.533327723238;"S1";"S2M";387.435142233593;387.435142233593;331.38;55.7;0.85610209775757;1;290.576356675195;348.691628010234;328.476291653694
45103;"AbbVie Inc";"Costa Rica";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2025;"absolute";"Scope 1+2";"S12M";"United States of America";2015;25;43.6099750623066;42.8522182664844;NA;2019;36.9735249234046;NA;10.9024937655767;0.0000655328890272645;100;"Scope 1+2 (market-based)";40.28;3.29;3.29;317524;341919;347333;"45103-abs-S12M-2015-2025-1";"Company-wide";2016;"No, but we anticipate setting one in the next 2 years";64.533327723238;"S1";"S2M";43.6099750623066;43.6099750623068;40.28;3.29;0.924489327518935;1;32.7074812967301;39.2489775560761;36.9735249234046
45103;"AbbVie Inc";"Croatia";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2025;"absolute";"Scope 1+2";"S12M";"United States of America";2015;25;217.329214718353;213.552952770295;NA;2019;184.256632238211;NA;54.3323036795882;0.000326581505496671;100;"Scope 1+2 (market-based)";180.14;36.99;36.99;317524;341919;347333;"45103-abs-S12M-2015-2025-1";"Company-wide";2016;"No, but we anticipate setting one in the next 2 years";64.533327723238;"S1";"S2M";217.329214718353;217.329214718353;180.14;36.99;0.829641228756966;1;162.996911038765;195.596293246518;184.256632238211
45103;"AbbVie Inc";"Denmark";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2025;"absolute";"Scope 1+2";"S12M";"United States of America";2015;25;566.779538186407;556.931308597187;NA;2019;480.52853392534;NA;141.694884546602;0.000851701944929511;100;"Scope 1+2 (market-based)";252.37;200.52;313.89;317524;341919;347333;"45103-abs-S12M-2015-2025-1";"Company-wide";2016;"No, but we anticipate setting one in the next 2 years";64.533327723238;"S1";"S2M";566.779538186407;566.779538186408;252.37;313.89;0.445678663511461;1;425.084653639806;510.101584367767;480.52853392534
45103;"AbbVie Inc";"Dominican Republic";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2025;"absolute";"Scope 1+2";"S12M";"United States of America";2015;25;94.2564000830254;92.6186227715133;NA;2019;79.9127115454903;NA;23.5641000207563;0.000141639480369463;100;"Scope 1+2 (market-based)";91.69;2.48;2.48;317524;341919;347333;"45103-abs-S12M-2015-2025-1";"Company-wide";2016;"No, but we anticipate setting one in the next 2 years";64.533327723238;"S1";"S2M";94.2564000830254;94.2564000830252;91.69;2.48;0.973664649038972;1;70.6923000622689;84.8307600747227;79.9127115454903
45103;"AbbVie Inc";"Ecuador";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2025;"absolute";"Scope 1+2";"S12M";"United States of America";2015;25;55.2506454771477;54.2906230963951;NA;2019;46.8427490422752;NA;13.8126613692869;0.0000830253723733073;100;"Scope 1+2 (market-based)";46.05;9.15;9.15;317524;341919;347333;"45103-abs-S12M-2015-2025-1";"Company-wide";2016;"No, but we anticipate setting one in the next 2 years";64.533327723238;"S1";"S2M";55.2506454771477;55.2506454771476;46.05;9.15;0.834239130434783;1;41.4379841078607;49.7255809294328;46.8427490422752
45103;"AbbVie Inc";"Egypt";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2025;"absolute";"Scope 1+2";"S12M";"United States of America";2015;25;369.168398031456;362.753813707309;NA;2019;312.989332051855;NA;92.2920995078641;0.000554750871239981;100;"Scope 1+2 (market-based)";287.32;81.51;81.51;317524;341919;347333;"45103-abs-S12M-2015-2025-1";"Company-wide";2016;"No, but we anticipate setting one in the next 2 years";64.533327723238;"S1";"S2M";369.168398031456;369.168398031456;287.32;81.51;0.779003877124963;1;276.876298523592;332.251558228311;312.989332051855
45103;"AbbVie Inc";"Estonia";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2025;"absolute";"Scope 1+2";"S12M";"United States of America";2015;25;124.173823874909;122.016208357587;NA;2019;105.277381271462;NA;31.0434559687271;0.000186596516243343;100;"Scope 1+2 (market-based)";78.57;45.49;45.49;317524;341919;347333;"45103-abs-S12M-2015-2025-1";"Company-wide";2016;"No, but we anticipate setting one in the next 2 years";64.533327723238;"S1";"S2M";124.173823874909;124.173823874908;78.57;45.49;0.633322585845559;1;93.1303679061813;111.756441487418;105.277381271462
