"Included";"number_of_targets";"number_active";"number_quantifiable";"number_scope1_2";"number_full_coverage";"number_included";"number_of_net_zero_targets";"nr_companies";"nr_net_zero_companies"
"All companies";4576;3536;4520;3675;3699;2429;750;2520;583
"Companies with quantifiable targets";2093;2093;2093;2093;2093;2093;435;1480;383
