"company_name";"Scope_short";"Target year";"Base year";"count_branches";"sum_percent_alloc";"remaing";"perc_from_closest_number"
"Brother Industries, Ltd.";"S12X3";2030;2015;84;1.80371049008088;0.803710490080883;0.108825396868605
"Burberry Group";"S12M";2022;2016;33;0.421163817937392;0.421163817937392;1
"Centrica";"S12L";2030;2015;5;0.881441741932986;0.881441741932986;0.134504928036444
"Centrica";"S12L";2050;2015;5;0.881441741932986;0.881441741932986;0.134504928036444
"Centrica";"S12L3";2025;2015;5;0.881441741932986;0.881441741932986;0.134504928036444
"CHANGZHOU CITY HENGFENG WEAVE CO.,LTD";"S12L3";2005;2005;1;0.000000223214285714286;0.000000223214285714286;1
"Citigroup Inc.";"S12L";2020;2005;12;0.859040955791168;0.859040955791168;0.164088851944213
"Citigroup Inc.";"S12L";2050;2005;12;0.859040955791168;0.859040955791168;0.164088851944213
"Coats Group Plc";"S12L";2022;2017;5;0.893129962259424;0.893129962259424;0.119657879879226
"Continental AG";"S12L";2040;2018;5;0.549036335403726;0.549036335403726;0.82137307773021
"ConvaTec";"S12M";2023;2018;10;0.729220072339081;0.729220072339081;0.371328132524319
"Core Laboratories N.V.";"S12L";2020;2015;13;1.31545993674223;0.315459936742225;0.239809611779946
"Core Laboratories N.V.";"S12L";2025;2018;13;1.31545993674223;0.315459936742225;0.239809611779946
"Core Laboratories N.V.";"S2L";2020;2015;13;1.46188035834698;0.46188035834698;0.315949493205621
"Core Laboratories N.V.";"S2L";2025;2018;13;1.46188035834698;0.46188035834698;0.315949493205621
"Denim Expert Limited";"S1";2025;2020;1;0.0319233838786911;0.0319233838786911;1
"Deutsche Lufthansa AG";"S12M";2025;2018;4;0.00553099620228376;0.00553099620228376;1
"DIA";"S12M";2030;2015;4;0.528899146491565;0.528899146491565;0.890719632719142
"DIA";"S12M";2036;2015;4;0.528899146491565;0.528899146491565;0.890719632719142
"DSV A/S";"S12L";2030;2019;5;1.11490948943002;0.114909489430019;0.103066204494111
"Ericsson";"S12M";2030;2019;25;1.32411673490276;0.324116734902764;0.244779577479296
"Euromoney Institutional Investor PLC";"S12L3";2019;2017;12;0.488372093023256;0.488372093023256;1
"First Gen Corporation";"S2L";2019;2015;1;0.0999978321036543;0.0999978321036543;1
"FORYOU OPTOELECTRONICS TECHNOLOGY";"S2M";2020;2019;1;0.333333333333333;0.333333333333333;1
"Fujitsu Limited";"S12L";2030;2013;15;0.868086211373669;0.868086211373669;0.151959317977864
"Fujitsu Limited";"S12L";2050;2013;15;0.868086211373669;0.868086211373669;0.151959317977864
"Furukawa Electric Co., Ltd.";"S12M";2031;2018;38;1.72441548208075;0.724415482080746;0.159813293711979
"Gas Networks Ireland";"S12L3";2025;2010;2;0.463432882741276;0.463432882741276;1
"Gas Networks Ireland";"S12L3";2030;2010;2;0.463432882741276;0.463432882741276;1
"GEA Group AG";"S12M";2019;2015;11;0.0895708005552985;0.0895708005552985;1
"GEA Group AG";"S12M";2025;2015;11;0.0895708005552985;0.0895708005552985;1
"GEA Group AG";"S12M";2050;2015;11;0.0895708005552985;0.0895708005552985;1
"Geberit AG";"S12L";2021;2015;17;1.16595871614366;0.165958716143658;0.142336700129964
