"account_id";"company_name";"primary_industry";"Scope";"% emissions in Scope";"BY_covered";"BY_Scope_exclS3";"BY_Scope";"MRY_Scope";"MRY_Scope_exclS3";"% reduction from base year";"Target year";"Target status";"% achieved (emissions)";"Target coverage";"MRY_inventory";"MRY_target";"TargetActive";"Quantifiable";"Scope1_2";"Include"
9363;"Intesa Sanpaolo S.p.A";"Services";"Scope 1 +2 (market-based)";100;113533;NA;113532.94;78984.76;NA;43;2037;"Underway";74;"Unknown";78984.76;77406.7994;TRUE;TRUE;TRUE;TRUE
9366;"Intuit Inc.";"Services";"Scope 1 +2 (market-based)";100;36007;NA;36007;12858;NA;80;2025;"Underway";64;"Unknown";12858;17571.416;TRUE;TRUE;TRUE;TRUE
9366;"Intuit Inc.";"Services";"Scope 1+2 (market-based) +3 (upstream & downstream)";100;72010;36007;NA;41204;12858;50;2025;"Underway";43;"Unknown";12858;56527.85;TRUE;TRUE;TRUE;TRUE
9366;"Intuit Inc.";"Services";"Scope 1+2 (location-based) +3 (upstream & downstream)";100;72010;36007;96296;53965;25619;80;2050;"Underway";43;"Unknown";25619;47238.56;TRUE;TRUE;TRUE;TRUE
9423;"Ipsen";"Biotech, health care & pharma";"Scope 1+2 (location-based)";100;27828;NA;27828;27710;NA;2.5;2020;"Underway";0.5;"Unknown";27710;27824.5215;TRUE;TRUE;TRUE;TRUE
9520;"Isetan Mitsukoshi Holdings Ltd.";"Retail";"Scope 1+2 (location-based)";100;226577;NA;NA;NA;NA;20;2020;"Underway";100;"Unknown";0;181261.6;TRUE;TRUE;TRUE;TRUE
9559;"Isuzu Motors Limited";"Manufacturing";"Scope 1+2 (location-based)";100;232885;NA;231885;223767;NA;3;2018;"Underway";100;"Unknown";223767;225898.45;TRUE;TRUE;TRUE;TRUE
9577;"Itausa Investimentos Itau S.A.";"Services";"Scope 1";100;10166.53;NA;366658.86;351485.69;NA;3;2020;"Underway";100;"Unknown";351485.69;9861.5341;TRUE;TRUE;TRUE;TRUE
9577;"Itausa Investimentos Itau S.A.";"Services";"Scope 2 (location-based)";91.74;74855.61;NA;216121.89;138543.82;NA;11;2020;"Underway";100;"Unknown";127100.100468;66621.4929;TRUE;TRUE;TRUE;TRUE
9577;"Itausa Investimentos Itau S.A.";"Services";"Scope 1";100;265184.97;NA;382902.69;351485.69;NA;25;2025;"New";0;"Unknown";351485.69;265184.97;TRUE;TRUE;TRUE;TRUE
9578;"Itaú Unibanco Holding S.A.";"Services";"Scope 1";100;10166.53;NA;NA;7960;NA;3;2020;"Underway";100;"Unknown";7960;9861.5341;TRUE;TRUE;TRUE;TRUE
9578;"Itaú Unibanco Holding S.A.";"Services";"Scope 2 (location-based)";91.74;74855.61;NA;NA;66848;NA;11;2020;"Underway";100;"Unknown";61326.3552;66621.4929;TRUE;TRUE;TRUE;TRUE
9625;"J MURPHY & SONS LTD";"Infrastructure";"Scope 1+2 (location-based)";99.7;40517.14;NA;40516;29248.8;NA;5;2020;"Underway";100;"Unknown";29161.0536;38491.283;TRUE;TRUE;TRUE;TRUE
9712;"Japan Tobacco Inc.";"Food, beverage & agriculture";"Scope 1 +2 (market-based)";100;880332;NA;880332;693601;NA;20;2020;"Underway";100;"Unknown";693601;704265.6;TRUE;TRUE;TRUE;TRUE
9731;"JCDecaux SA.";"Services";"Scope 2 (location-based)";91;187978;NA;206418;240162;NA;15;2020;"Underway";0;"Unknown";218547.42;187978;TRUE;TRUE;TRUE;TRUE
9829;"Johnson & Johnson";"Biotech, health care & pharma";"Scope 1 +2 (market-based)";100;1334078;NA;1350401;1061119;NA;20;2020;"Underway";21;"Unknown";1061119;1278046.724;TRUE;TRUE;TRUE;TRUE
9829;"Johnson & Johnson";"Biotech, health care & pharma";"Scope 1 +2 (market-based)";99;1334078;NA;1350401;1061119;NA;80;2050;"Underway";21;"Unknown";1050507.81;1109952.896;TRUE;TRUE;TRUE;TRUE
9863;"LIXIL Group Corporation";"Materials";"Scope 1+2 (location-based)";100;1146238;NA;752917;1198717.17;NA;30;2030;"Underway";0;"Unknown";1198717.17;1146238;TRUE;TRUE;TRUE;TRUE
9871;"JPMorgan Chase & Co.";"Services";"Scope 1 +2 (market-based)";100;1392704;NA;1392704;675072;NA;50;2020;"Replaced";100;"Unknown";675072;696352;FALSE;TRUE;TRUE;FALSE
9872;"JSR Corporation";"Manufacturing";"Scope 1 +2 (market-based)";50;719061;NA;NA;1436505;NA;6;2017;"Underway";100;"Unknown";718252.5;675917.34;FALSE;TRUE;TRUE;FALSE
9897;"JTEKT Corporation";"Manufacturing";"Scope 1+2 (location-based)";100;701700;NA;NA;786000;NA;10;2020;"Underway";0;"Unknown";786000;701700;TRUE;TRUE;TRUE;TRUE
9902;"Juniper Networks, Inc.";"Manufacturing";"Scope 1 +2 (market-based)";100;92864;NA;92864;80495;NA;5;2020;"Underway";100;"Unknown";80495;88220.8;TRUE;TRUE;TRUE;TRUE
