"Country/Region";"account_id";"company_name";"primary_sector";"primary_industry";"primary_activity";"Target year";"target_type";"Scope";"Scope_short";"incorporation_country";"Base year";"% reduction from base year";"BY_EM_target";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Target coverage";"Year target was set";"Is this a science-based target?";"% of target achieved [auto-calculated]";"Scope1";"Scope2";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"Global";50078;"KION GROUP AG";"Powered machinery";"Manufacturing";"Industrial machinery";2027;"absolute";"Scope 1+2";"S12M";"Germany";2017;30;218110.41;218110.41;NA;2019;194836.01;NA;0;1;100;"Scope 1+2 (market-based)";121596.55;92479.6;73239.46;121596.55;92479.6;73239.46;"50078-abs-S12M-2017-2027-1";"Company-wide";2018;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";35.5697679293101;"S1";"S2M";218110.41;218110.41;121596.55;73239.46;0.624096900773117;1;152677.287;205023.7854;194836.01
"Global";50097;"Meridian Energy";"Renewable power generation";"Power generation";"Other renewable generation";2030;"absolute";"Scope 1";"S1";"New Zealand";2019;50;47279;NA;NA;2019;NA;NA;0;1;100;"Other, please specify: Group operational emissions (excludes one-off construction emissions and emissions from energy purchased and onsold)";1099;NA;NA;1099;NA;NA;"50097-abs-SX-2019-2030-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";0;"S1";"";47279;47279;1099;0;1;1;23639.5;47279;47279
"Global";50109;"OSRAM Licht AG";"Electrical & electronic equipment";"Manufacturing";"Electrical equipment";2030;"absolute";"Scope 1+2";"S12M";"Germany";2019;99;265000;268900;NA;2019;268900;NA;0;1;100;"Scope 1+2 (market-based)";30200;279600;238700;30200;279600;238700;"50109-abs-S12M-2019-2030-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";0;"S1";"S2M";265000;265000;30200;238700;0.11230940870212;1;2650;265000;268900
"Global";50109;"OSRAM Licht AG";"Electrical & electronic equipment";"Manufacturing";"Electrical equipment";2020;"absolute";"Scope 1+2";"S12M";"Germany";2019;0;265000;266211;NA;2019;266211;NA;0;1;99;"Scope 1+2 (market-based)";30200;279600;238700;30200;279600;238700;"50109-abs-S12M-2019-2020-1";"Company-wide";2019;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";NA;"S1";"S2M";265000;265000;30200;238700;0.11230940870212;1;265000;265000;266211
"Global";50182;"Suntory Beverage & Food";"Food & beverage processing";"Food, beverage & agriculture";"Non-alcoholic beverages";2030;"absolute";"Scope 1+2";"S12M";"Japan";2015;25;472595;467869.05;NA;2019;495720.72;NA;0;1;99;"Scope 1+2 (market-based)";135070;131795;NA;135070;131795;NA;"50182-abs-S12M-2015-2030-1";"Company-wide";2017;"Yes, this target has been approved as science-based by the Science-Based Targets initiative";-20.3124620446682;"S1";"S2M";472595;472595;135070;NA;1;1;354446.25;441088.666666667;495720.72
"Global";50182;"Suntory Beverage & Food";"Food & beverage processing";"Food, beverage & agriculture";"Non-alcoholic beverages";2050;"absolute";"Scope 1+2";"S12M";"Japan";2015;100;472595;467869.05;NA;2019;495720.72;NA;0;1;99;"Scope 1+2 (market-based)";135070;131795;NA;135070;131795;NA;"50182-abs-S12M-2015-2050-1";"Company-wide";2017;"No, but we are reporting another target that is science-based";-5.07811551116706;"S1";"S2M";472595;472595;135070;NA;1;1;0;418584.142857143;495720.72
"Global";50247;"Topcon Corp";"Electrical & electronic equipment";"Manufacturing";"Electronic equipment";2022;"absolute";"Scope 1+2";"S12M";"Japan";2006;25;6280;6280;NA;2020;12195;NA;0;1;100;"Scope 1+2 (market-based)";1100;11821;11095;1100;11821;11095;"50247-abs-S12M-2006-2022-1";"Country/region";2019;"No, and we do not anticipate setting one in the next 2 years";187.770700636943;"S1";"S2M";6280;6280;1100;11095;0.0902009020090201;1;4710;4906.25;12195
"Global";50248;"Toyo Tire Corporation";"Light manufacturing";"Manufacturing";"Tires";2030;"absolute";"Scope 1+2";"S12L";"Japan";2013;26;377260.65;300978.674971;NA;2019;378234.4575812;NA;0;1;64.01;"Scope 1+2 (location-based)";250220.36;249585.91;NA;250220.36;249585.91;NA;"50248-abs-S12L-2013-2030-1";"Country/region";2016;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";104.114734223387;"S1";"S2L";377260.65;377260.65;250220.36;249585.91;0.500634695919281;1;279172.881;342641.437411765;378234.4575812
"Global";50310;"Voya Financial";"Financial services";"Services";"Insurance";2020;"absolute";"Scope 1+2";"S12L";"United States of America";2018;10;17496;17497;NA;2019;16153;NA;0;1;100;"Scope 1+2 (location-based)";NA;NA;NA;NA;NA;NA;"50310-abs-S12L-2018-2020-1";"Company-wide";2019;"No, but we anticipate setting one in the next 2 years";76.7604023776863;"S1";"S2L";17496;17496;NA;NA;1;1;15746.4;16621.2;16153
"Global";50507;"Nostrum Oil & Gas";"Oil & gas extraction & production";"Fossil Fuels";"Oil & gas extraction";2020;"absolute";"Scope 1";"S1";"Netherlands";2018;12;254155;86412.904;NA;2019;75.84108;NA;0;1;34;"Scope 1";223.062;297.3;NA;223.062;297.3;NA;"50507-abs-S1-2018-2020-1";"Company-wide";2020;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";101.948941918645;"S1";"";254155;254155;223.062;0;1;1;223656.4;238905.7;75.84108
