"account_id";"incorporation_country";"Target reference number";"Scope";"% emissions in Scope";"BY";"MRY";"TR";"TY";"TYset";"source_year";"BY_EM";"MRY_EM";"TYSet";"TargetActive";"Quantifiable";"Scope1_2";"Full_coverage";"Include";"TYset_EM";"TY_EM";"Timelapsed";"reduction_required";"reduction_achieved";"on_track";"target_year_group";"target_completed";"progress_rate";"maturity";"maturity_expired";"maturity_remaining";"annual_ambition_MRY_g";"annual_ambition_BY_g";"annual_progress_g";"annual_ambition_MRY_a";"annual_ambition_BY_a";"annual_progress_BY_a";"annual_progress_TYset_a";"diff_required_achieved_a";"net_zero"
154;"Spain";"Abs 2";"Other, please specify: Scope 3 categories: purchased goods and services, capital goods, energy-related activities, upstream transportation and distribution, employee commuting and use of sold products";100;2017;2020;47;2030;2017;2021;1994537;1381952;2017;TRUE;TRUE;FALSE;TRUE;FALSE;1994537;1057104.61;0.230769230769231;216330.551538462;612585;TRUE;"2";-23.506416286528;283.170821524526;13;3;10;2.64404959145944;4.76634523152137;11.5121546052698;2.3506416286528;3.61538461538462;10.2377143166559;10.2377143166559;1.26474298673181;FALSE
156;"France";"Abs 1";"Scope 1+2 (location-based)";100;2019;2020;46;2030;2020;2021;1946092;1271172;2020;TRUE;TRUE;TRUE;TRUE;TRUE;1271172;1050889.68;0.0909090909090909;81382.0290909091;674920;TRUE;"2";-17.3290726982658;829.323141164335;11;1;10;1.88502875564759;5.44768641660425;34.6807859032358;1.73290726982658;4.18181818181818;34.6807859032358;NA;2.4489109119916;FALSE
156;"France";"Abs 2";"Other, please specify: This target refers to the Group's scope 3 emissions. The scope 3 categories included in this target are: purchased goods and services, fuel and energy-related activities and franchises (making up 88% of the total scope 3 emissions).";88;2019;2020;28;2030;2020;2021;2180085;1414499;2020;TRUE;TRUE;FALSE;FALSE;FALSE;1414499;1569661.2;0.0909090909090909;55493.0727272727;765586;TRUE;"2";10.969410370739;1379.60643081086;11;1;10;-1.04627957405614;2.94224827930741;35.1172546024582;-1.0969410370739;2.54545454545455;35.1172546024582;NA;3.64239558252845;FALSE
169;"Spain";"Abs 1";"Scope 1+2 (location-based)";100;2019;2020;100;2050;2019;2021;2897135;2736760;2019;TRUE;TRUE;TRUE;TRUE;TRUE;2897135;0;0.032258064516129;93455.9677419355;160375;TRUE;"3";-100;171.604878612836;31;1;30;NA;NA;5.53564124557537;NA;NA;5.53564124557537;5.53564124557537;NA;TRUE
220;"Switzerland";"Abs 1";"Scope 1";100;2018;2020;50;2030;2020;2021;64163.78;32407.91;2020;TRUE;TRUE;TRUE;TRUE;TRUE;32407.91;32081.89;0.166666666666667;5346.98166666667;31755.87;TRUE;"2";-1.00598896997678;593.902728299361;12;2;10;0.101057226053503;5.61256873183065;28.9309448669442;0.100598896997678;4.16666666666667;24.7459470124734;NA;4.06606776966899;FALSE
220;"Switzerland";"Abs 2";"Scope 2 (market-based)";100;2018;2020;50;2030;2020;2021;31662.9;25154.35;2020;TRUE;TRUE;TRUE;TRUE;TRUE;25154.35;15831.45;0.166666666666667;2638.575;6508.55;TRUE;"2";-37.0627744306651;246.669130117583;12;2;10;4.52475985259305;5.61256873183065;10.8685021124024;3.70627744306651;4.16666666666667;10.2778804215659;NA;0.460389223600159;FALSE
240;"Germany";"Abs 1";"Scope 2 (market-based)";100;2016;2020;67;2032;2017;2021;6003;5151;2017;TRUE;TRUE;TRUE;TRUE;TRUE;5790;1980.99;0.25;1005.5025;852;FALSE;"2";-61.5416423995341;84.7337525267217;16;4;12;7.65446654380902;6.6945264787174;3.75441831271812;5.12847019996117;4.1875;3.54822588705647;3.67875647668394;-0.940970199961173;FALSE
240;"Germany";"Abs 2";"Scope 1";79;2016;2020;67;2032;2017;2021;1010;626;2017;TRUE;TRUE;TRUE;FALSE;FALSE;914;333.3;0.25;169.175;384;TRUE;"2";-46.7571884984026;226.983892419093;16;4;12;5.11699839938764;6.6945264787174;11.2714795198613;3.89643237486688;4.1875;9.5049504950495;10.5032822757112;0.29106762513312;FALSE
246;"Japan";"Abs 1";"Scope 1+2 (market-based)";100;2018;2021;60;2030;2020;2021;37379.91;28730.1;2020;TRUE;TRUE;TRUE;TRUE;TRUE;31613.37;14951.964;0.25;5606.9865;8649.81;TRUE;"2";-47.9571459897459;154.268429217727;12;3;9;6.99965337500469;7.35151275209308;8.39912361978418;5.32857177663844;5;7.71342146088635;9.12041329348944;-0.328571776638437;FALSE
248;"South Africa";"Abs 1";"Scope 1";100;2019;2020;20;2025;2020;2021;402531;334225;2020;TRUE;TRUE;TRUE;TRUE;TRUE;334225;322024.8;0.166666666666667;13417.7;68306;TRUE;"1";-3.65029545964544;509.073835307095;6;1;5;0.740958420413695;3.65075160010039;16.9691278435698;0.730059091929087;3.33333333333333;16.9691278435698;NA;2.60327424140424;FALSE
248;"South Africa";"Abs 1";"Scope 2 (location-based)";100;2019;2020;8;2025;2020;2021;273548;241150;2020;TRUE;TRUE;TRUE;TRUE;TRUE;241150;251664.16;0.166666666666667;3647.30666666667;32398;TRUE;"1";4.3600082935932;888.271893780982;6;1;5;-0.857180002880642;1.38008181818158;11.8436252504131;-0.87200165871864;1.33333333333333;11.8436252504131;NA;2.20533499205197;FALSE
257;"United Kingdom of Great Britain and Northern Ireland";"Abs 1";"Scope 1+2 (market-based)";100;2019;2020;46.2;2030;2020;2021;9416;5728;2020;TRUE;TRUE;TRUE;TRUE;TRUE;5728;5065.808;0.0909090909090909;395.472;3688;TRUE;"2";-11.5606145251397;932.556540033175;11;1;10;1.22101219114872;5.47957593470031;39.1673746813934;1.15606145251397;4.2;39.1673746813934;NA;3.04393854748603;FALSE
258;"Japan";"Abs 1";"Scope 1+2 (location-based)";100;2010;2021;51.5;2030;2021;2021;3466980;3016844;2021;TRUE;TRUE;TRUE;TRUE;TRUE;3016844;1681485.3;0.55;982022.085;450136;FALSE;"2";-44.2634322490656;45.8376656569796;20;11;9;6.28839892191865;3.55336341962286;1.25633812717789;4.91815913878506;2.575;1.18031989066722;NA;-2.34315913878506;FALSE
258;"Japan";"Abs 1";"Scope 1+2 (location-based)";100;2010;2021;51.5;2030;2018;2021;3466980;3016844;2021;TRUE;TRUE;TRUE;TRUE;TRUE;3139608.36363636;1681485.3;0.55;982022.085;450136;FALSE;"2";-44.2634322490656;45.8376656569796;20;11;9;6.28839892191865;3.55336341962286;1.25633812717789;4.91815913878506;2.575;1.18031989066722;1.30339360218987;-2.34315913878506;FALSE
261;"Japan";"Abs 1";"Scope 1+2 (market-based)";100;2010;2021;100;2050;2018;2021;535798.92;257032.43;2018;TRUE;TRUE;TRUE;TRUE;TRUE;333059.654545455;0;0.275;147344.703;278766.49;TRUE;"3";-100;189.193424890205;40;11;29;NA;NA;6.45970498400391;NA;NA;4.72983562225511;7.60896969535515;NA;TRUE
276;"Denmark";"Abs 1";"Scope 1";100;2008;2020;100;2050;2018;2021;29436877;32184089;2018;TRUE;TRUE;TRUE;TRUE;TRUE;31726220.3333333;0;0.285714285714286;8410536.28571429;-2747212;FALSE;"3";-100;-32.6639337454174;42;12;30;NA;NA;-0.746304338296988;NA;NA;-0.777712708224223;-0.721593467258382;NA;TRUE
282;"Switzerland";"Abs 1";"Scope 1+2 (market-based)";100;2013;2020;40;2020;2013;2021;1167004;487410;2013;FALSE;TRUE;TRUE;TRUE;FALSE;1167004;700202.4;1;466801.6;679594;TRUE;"0";43.6577829753185;145.585190796261;7;7;0;NA;7.03760125012187;11.72621935493;-Inf;5.71428571428571;8.31915375978635;8.31915375978635;Inf;FALSE
282;"Switzerland";"Abs 2";"Scope 1+2 (market-based)";100;2019;2020;80;2030;2020;2021;680257;560818;2020;TRUE;TRUE;TRUE;TRUE;TRUE;560818;136051.4;0.0909090909090909;49473.2363636364;119439;TRUE;"2";-75.7405432778549;241.421440720198;11;1;10;13.206319100586;13.611233629741;17.557922961469;7.57405432778549;7.27272727272727;17.557922961469;NA;-0.301327055058213;FALSE
285;"United States of America";"Abs 1";"Scope 1+2 (market-based)";100;2019;2020;50;2030;2021;2021;5370000;4850000;2021;TRUE;TRUE;TRUE;TRUE;TRUE;4850000;2685000;0.0909090909090909;244090.909090909;520000;TRUE;"2";-44.639175257732;213.035381750466;11;1;10;5.74155840714776;6.10690893382937;9.68342644320298;4.4639175257732;4.54545454545455;9.68342644320298;0;0.0815370196813499;FALSE
313;"Italy";"Abs 1";"Scope 2 (location-based)";100;2011;2020;22.23;2024;2011;2021;480000;392575;2011;TRUE;TRUE;TRUE;TRUE;TRUE;480000;373296;0.692307692307692;73872;87425;TRUE;"1";-4.91090874355219;118.3465995235;13;9;4;1.25100730220855;1.91537620273866;2.20921473397389;1.22772718588805;1.71;2.02372685185185;2.02372685185185;0.482272814111953;FALSE
313;"Italy";"Abs 2";"Scope 2 (market-based)";100;2016;2020;37.47;2020;2016;2021;494363;309117;2016;FALSE;TRUE;TRUE;TRUE;FALSE;494363;309125.1839;1;185237.8161;185246;TRUE;"0";0.00264750887204457;100.004418050359;4;4;0;NA;11.0753617415978;11.0759503037808;-Inf;9.3675;9.36791386086742;9.36791386086742;Inf;FALSE
313;"Italy";"Abs 3";"Scope 2 (market-based)";100;2017;2020;57.7;2024;2018;2021;494363;309117;2018;TRUE;TRUE;TRUE;TRUE;TRUE;432614.333333333;209115.549;0.428571428571429;122248.907571429;185246;TRUE;"1";-32.3506798396724;151.531824439219;7;3;4;9.30865158099765;11.5658405103746;14.4882796835785;8.08766995991809;8.24285714285714;12.4905518144899;14.2733751308903;0.15518718293905;FALSE
316;"Taiwan, Greater China";"Abs 1";"Scope 1+2 (market-based)";100;2009;2020;60;2020;2011;2021;32144.42;12199.38;2011;FALSE;TRUE;TRUE;TRUE;FALSE;28518.0490909091;12857.768;1;19286.652;19945.04;TRUE;"0";5.39689721936689;103.413697722134;11;11;0;NA;7.99241414964491;8.431019550193;-Inf;5.45454545454545;5.64074714848006;6.35802767842018;Inf;FALSE
316;"Taiwan, Greater China";"Abs 2";"Scope 1+2 (market-based)";100;2009;2020;80;2050;2018;2021;32144.42;12199.38;2018;TRUE;TRUE;TRUE;TRUE;TRUE;15825.7509090909;6428.884;0.268292682926829;6899.29014634146;19945.04;TRUE;"3";-47.3015513903166;289.088291359603;41;11;30;2.1126448462762;3.84941052915713;8.431019550193;1.57671837967722;1.95121951219512;5.64074714848006;11.457184338115;0.374501132517903;FALSE
333;"United States of America";"Abs 1";"Scope 1+2 (market-based)";100;2018;2020;35;2025;2019;2021;59990;44382;2019;TRUE;TRUE;TRUE;TRUE;TRUE;52186;38993.5;0.285714285714286;5999;15608;TRUE;"1";-12.1411833626245;260.176696116019;7;2;5;2.55555870302274;5.96850593469678;13.9870181958572;2.4282366725249;5;13.008834805801;14.9542022764726;2.5717633274751;FALSE
334;"United States of America";"Abs 1";"Scope 1+2 (location-based)";100;2014;2020;20;2020;2014;2021;52183;32251;2014;FALSE;TRUE;TRUE;TRUE;FALSE;52183;41746.4;1;10436.6;19932;TRUE;"0";29.4421878391368;190.981737347412;6;6;0;NA;3.65075160010039;7.70694460547865;-Inf;3.33333333333333;6.3660579115804;6.3660579115804;Inf;FALSE
336;"Taiwan, Greater China";"Abs 1";"Scope 1+2 (market-based)";100;2016;2020;35;2030;2017;2021;1957126;1752602;2017;TRUE;TRUE;TRUE;TRUE;TRUE;1905995;1272131.9;0.285714285714286;195712.6;204524;TRUE;"2";-27.4146725839637;104.502213960675;14;4;10;3.15328727474734;3.03016238783154;2.72166490185688;2.74146725839637;2.5;2.61255534901687;2.68264082539566;-0.241467258396373;FALSE
351;"Australia";"Abs 1";"Scope 1+2 (location-based)";17.6;2016;2020;100;2024;2016;2021;7706248;10011434;2016;TRUE;TRUE;TRUE;FALSE;FALSE;7706248;0;0.5;3853124;-2305186;FALSE;"1";-100;-59.82641617555;8;4;4;NA;NA;-6.76117055552046;NA;NA;-7.47830202194375;-7.47830202194375;NA;TRUE
351;"Australia";"Abs 2";"Scope 1+2 (location-based)";54.2;2016;2020;100;2037;2016;2021;23731740;24049748;2016;TRUE;TRUE;TRUE;FALSE;FALSE;23731740;0;0.19047619047619;4520331.42857143;-318008;FALSE;"3";-100;-7.03505937617722;21;4;17;NA;NA;-0.33333246271543;NA;NA;-0.335002827437011;-0.335002827437011;NA;TRUE
351;"Australia";"Abs 3";"Scope 1+2 (location-based)";96.2;2016;2020;100;2050;2016;2021;42121649;40976025;2016;TRUE;TRUE;TRUE;TRUE;TRUE;42121649;0;0.117647058823529;4955488.11764706;1145624;FALSE;"3";-100;23.1182877004649;34;4;30;NA;NA;0.686996737896384;NA;NA;0.679949638248968;0.679949638248968;NA;TRUE
362;"United States of America";"Abs 1";"Scope 1+2 (market-based)";83;2007;2020;75;2030;2020;2021;34607;10579;2020;TRUE;TRUE;TRUE;FALSE;FALSE;10579;8651.75;0.565217391304348;14670.3586956522;24028;TRUE;"2";-18.2176954343511;163.786042989672;23;13;10;1.99100532569972;5.84931618511091;8.71357383095565;1.82176954343511;3.26086956521739;5.3408492279241;NA;1.43910002178228;FALSE
365;"United States of America";"Abs 1";"Scope 1+2 (location-based)";100;2017;2020;5;2023;2017;2021;1178.74;859;2017;TRUE;TRUE;TRUE;TRUE;TRUE;1178.74;1119.803;0.5;29.4685000000001;319.74;TRUE;"1";30.3612339930151;1085.02299065103;6;3;3;-9.24028410173103;0.85124446108471;10.0105258261608;-10.120411331005;0.833333333333335;9.04185825542529;9.04185825542529;10.9537446643384;FALSE
