country;scenario;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
Mexico;NDC_min;;;;;;629.253;637.802;646.352;654.901;663.451;672.000;667.072;662.144;657.216;652.288;647.360;642.432;637.504;632.576;627.648;622.720
Mexico;NDC_max;;;;;;691.668;687.734;683.801;679.867;675.934;672.000;667.072;662.144;657.216;652.288;647.360;642.432;637.504;632.576;627.648;622.720
Mexico;CPS_NSA_min;;;;;;691.668;623.407;621.132;620.593;620.034;619.481;628.890;638.843;648.700;658.568;663.917;670.879;677.760;684.521;691.581;698.625
Mexico;CPS_NSA_max;;;;;;691.668;687.397;683.140;678.924;674.689;670.459;672.502;675.086;677.574;681.460;691.471;701.393;711.303;721.201;731.439;741.674
USA;CPS_min;;;;;;5699.810;5604.051;5608.044;5675.773;5667.761;5659.749;5541.487;5423.226;5304.965;5186.703;5068.442;4990.726;4913.011;4835.296;4757.580;4679.865
USA;CPS_max;;;;;;5699.810;5623.438;5638.269;5720.885;5701.862;5667.331;5625.521;5585.864;5583.917;5599.772;5601.523;5602.078;5599.246;5598.968;5601.484;5589.400
USA;NDC_min;;;;;;5699.810;5633.045;5566.279;5499.514;5432.749;5365.983;5223.752;5081.521;4939.291;4797.060;4654.829;4636.087;4531.589;4427.091;4322.593;4218.094
USA;NDC_max;;;;;;5699.810;5633.045;5566.279;5499.514;5432.749;5365.983;5249.612;5133.242;5016.871;4900.500;4784.130;4748.931;4657.363;4565.795;4474.227;4382.659
USA;CPS_NSA_min;;;;;;5699.810;5587.433;5561.408;5581.139;5546.800;5512.517;5428.752;5321.303;5214.037;5106.129;4998.430;4918.454;4839.626;4760.597;4681.359;4603.329
USA;CPS_NSA_max;;;;;;5699.810;5619.012;5603.475;5636.492;5596.932;5546.348;5505.374;5453.408;5428.682;5417.349;5396.338;5374.092;5349.765;5326.875;5305.583;5276.059
Indonesia;CPS_min;;;;;;1282.147;1319.186;1356.225;1393.264;1430.303;1467.342;1533.194;1599.046;1664.898;1730.750;1796.601;1852.214;1907.826;1959.759;2010.897;2062.035
Indonesia;CPS_max;;;;;;1317.031;1361.545;1406.060;1450.574;1495.088;1539.603;1594.208;1654.383;1714.559;1774.734;1834.910;1895.595;1956.279;2016.964;2077.648;2138.333
Indonesia;NDC_min;;;;;;1282.147;1315.168;1348.188;1381.208;1414.228;1447.248;1506.222;1565.197;1624.171;1683.145;1742.119;1801.093;1860.067;1919.042;1978.016;2036.990
Indonesia;NDC_max;;;;;;1317.031;1343.074;1369.118;1395.161;1421.205;1447.248;1506.222;1565.197;1624.171;1683.145;1742.119;1801.093;1860.067;1919.042;1978.016;2036.990
Indonesia;CPS_NSA_min;;;;;;1317.031;1315.843;1349.778;1383.845;1418.434;1453.032;1516.817;1580.609;1644.295;1708.002;1771.751;1825.877;1880.054;1930.786;1980.797;2030.892
Indonesia;CPS_NSA_max;;;;;;1317.031;1358.174;1399.367;1440.691;1482.538;1524.393;1578.074;1636.927;1695.674;1754.442;1813.251;1872.371;1931.542;1990.668;2049.807;2109.030
South Africa;CPS_min;;;;;;538.908;559.040;573.559;575.257;576.955;578.653;585.350;592.047;598.744;605.440;612.137;618.095;624.053;630.011;635.969;641.927
South Africa;CPS_max;;;;;;570.164;571.861;579.172;599.304;619.436;639.568;650.139;660.710;671.282;681.853;692.424;702.562;712.700;722.838;732.976;743.114
South Africa;NDC_min;;;;;;538.908;510.726;482.545;454.363;426.182;398.000;398.000;398.000;398.000;398.000;398.000;398.000;398.000;398.000;398.000;398.000
South Africa;NDC_max;;;;;;570.164;572.731;575.298;577.865;580.433;583.000;589.200;595.400;601.600;607.800;614.000;614.000;614.000;614.000;614.000;614.000
South Africa;CPS_NSA_min;;;;;;570.164;528.840;518.097;505.450;492.841;480.227;470.666;460.968;451.332;441.794;432.344;441.366;450.803;459.670;468.846;478.657
South Africa;CPS_NSA_max;;;;;;570.164;558.814;548.571;540.834;533.135;525.429;517.450;509.332;501.277;493.319;485.450;495.604;506.175;516.175;526.483;537.427
