Scenario;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
CPS-min;4238.99;4182.321578;4125.653156;4068.984734;4012.316312;3955.64789;3904.363924;3853.079958;3801.795993;3750.512027;3699.228061;3690.752143;3640.218264;3582.300374;3524.382484;3466.464595
CPS-max;4238.99;4214.271447;4189.552895;4164.834343;4140.11579;4115.397238;4090.678686;4065.960133;4041.241581;4016.523029;3991.804476;3967.085924;3942.367372;3917.648819;3892.930267;3868.211715
