"company_name";"Scope_short";"Target year";"Base year";"count_branches";"sum_percent_alloc";"remaing";"perc_from_closest_number"
"AL KARAM TOWEL INDUSTRIES";"S1";2020;2019;2;2;0;0
"ALBARAKA TÜRK KATILIM BANKASI A.Ş.";"S12L";2023;2017;1;0;0;NA
"ALBARAKA TÜRK KATILIM BANKASI A.Ş.";"S12L";2030;2017;1;0;0;NA
"ALBARAKA TÜRK KATILIM BANKASI A.Ş.";"S12L3";2030;2017;1;0;0;NA
"Alfa Laval Corporate AB";"S12M3";2020;2015;13;0;0;NA
"Algonquin Power & Utilities Corporation";"S12L";2023;2017;2;0.999999999999999;0.999999999999999;0.000000000000000666133814775094
"Alk-Abello A/S";"S12L";2020;2017;1;0;0;NA
"All Access Apparel, Inc.";"S12L";2021;2013;2;1;0;0
"All Access Apparel, Inc.";"S3";2020;2013;2;0;0;NA
"Allergan plc";"S12M";2020;2015;9;0.997214252352039;0.997214252352039;0.00279352971679936
"Alliant Energy Corporation";"S1";2030;2005;1;1;0;0
"Alliant Energy Corporation";"S1";2050;2005;1;1;0;0
"ALLPROFESSIONAL MFG. CO., LTD.";"S12M3";2030;2018;1;0.537248640287411;0.537248640287411;0.861335562366489
"Alma Media Corporation";"S12M";2025;2016;2;1;0.000000000000000222044604925031;0.000000000000000222044604925031
"Almirall S.A.";"S1";2025;2014;2;1;0;0
"Almirall S.A.";"S12L";2025;2014;2;1;0;0
"Almirall S.A.";"S12M";2025;2014;2;1;0;0
"Almirall S.A.";"S2L";2025;2014;2;1;0;0
"Almirall S.A.";"S2M";2025;2014;2;0;0;NA
"Alphabet, Inc.";"S12M";2025;2015;2;0.999999432512065;0.999999432512065;0.000000567488257052773
"Alphabet, Inc.";"S12M";2040;2015;2;0.999999432512065;0.999999432512065;0.000000567488257052773
"ALPLA";"S12L3";2022;2018;46;0.576395640114142;0.576395640114142;0.734919437978353
"ALPS ALPINE CO LTD.";"S12M";2051;2014;13;0.998412142325694;0.998412142325694;0.00159038297611924
"alstria office REIT-AG";"S1";2030;2018;1;1;0;0
"alstria office REIT-AG";"S3";2030;2018;1;0;0;NA
"ALTEAMS";"S12L3";2030;2019;3;1.00003302946228;0.0000330294622805649;0.0000330283713712021
"Alten";"S12M";2025;2018;7;1.01548549810845;0.0154854981084493;0.015249354261872
"Alten";"S12M";2035;2018;7;1.01548549810845;0.0154854981084493;0.015249354261872
"Alten";"S3";2025;2018;14;0;0;NA
"Alten";"S3";2030;2018;7;0;0;NA
"Altria Group, Inc.";"S12L";2025;2015;1;1;0;0
"Altria Group, Inc.";"S12M";2030;2017;1;1;0;0
"Altria Group, Inc.";"S3";2030;2017;2;0;0;NA
"Amadeus IT Group, S.A.";"S12M";2020;2015;8;0.90588510725469;0.90588510725469;0.103892747536746
"Amadeus IT Group, S.A.";"S12M";2030;2015;8;0.90588510725469;0.90588510725469;0.103892747536746
"Amdocs Ltd";"S12L";2024;2019;6;0.999988932806324;0.999988932806324;0.0000110673161601849
"Amdocs Ltd";"SX";2024;2019;6;0;0;NA
"Amer Sports";"S12L";2030;2019;3;1.00603029768356;0.00603029768356311;0.00599415116766189
"Ameren Corporation";"S1";2030;2005;1;1;0;0
"Ameren Corporation";"S1";2040;2005;1;1;0;0
"Ameren Corporation";"S1";2050;2005;1;1;0;0
"American Electric Power Company, Inc.";"S1";2020;2010;1;1;0;0
"American Electric Power Company, Inc.";"S1";2050;2000;1;1;0;0
"American Express";"S12M3";2025;2011;12;2.00004730760588;0.0000473076058802313;0.000023653243450994
"American Express";"S12M3";2040;2011;12;2.00004730760588;0.0000473076058802313;0.000023653243450994
"American International Group, Inc. (AIG)";"S12L";2020;2010;2;1;0;0
"American Tower Corp.";"S1";2027;2017;17;1.00001977417888;0.0000197741788765526;0.0000197737878661064
"American Water Works";"S12L";2025;2007;1;1;0;0
"AmerisourceBergen Corp.";"S2L";2020;2016;8;2;0.999999999999999;0.000000000000000444089209850063
