"account_id";"incorporation_country";"Target reference number";"Scope";"BY";"MRY";"TR";"TY";"source_year";"TYset";"BY_EM";"MRY_EM";"TYSet";"TargetActive";"Quantifiable";"Scope1_2";"Include";"TYset_EM";"TY_EM";"Timelapsed";"reduction_required";"reduction_achieved";"on_track";"target_year_group";"target_completed";"progress_rate";"maturity";"maturity_expired";"maturity_remaining";"annual_ambition_MRY";"annual_ambition_BY";"annual_ambition";"annual_progress";"annual_ambition_MRY_a";"annual_ambition_BY_a";"annual_ambition_a";"annual_progress_BY_a";"annual_progress_TYset_a";"annual_progress_a";"diff_required_achieved_a"
22917;"Spain";"Abs 1";"Scope 1+2 (location-based)";2017;2017;100;2025;2018;NA;97700;4589300;NA;TRUE;TRUE;TRUE;TRUE;NA;0;0;0;-4491600;FALSE;"1";-100;Inf;8;0;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
23073;"Ireland";"Abs 1";"Scope 1+2 (location-based) +3 (upstream)";2017;2018;6;2023;2018;NA;51000;51000;NA;TRUE;TRUE;TRUE;TRUE;NA;47940;0.166666666666667;-510;0;TRUE;"1";-6.00000000000001;0;6;1;5;1.22988243158529;1.02595750826576;1.22988243158529;0;1.2;1;1.2;0;NA;0;-0.229882431585294
23095;"Brazil";"Abs 1";"Scope 1";2016;2017;1;2017;2018;NA;2553.65;253378;NA;FALSE;TRUE;TRUE;FALSE;NA;2528.1135;1;-25.5365000000002;-250824.35;FALSE;"0";-99.0022363820063;982218.980674714;1;1;0;NA;1;NA;-9822.1898067472;Inf;1.00000000000001;Inf;-9822.1898067472;NA;-9822.1898067472;NA
23318;"Switzerland";"Abs 1";"Scope 1+2 (market-based) +3 (upstream)";2017;2017;60;2025;2018;NA;8230000;8230000;NA;TRUE;TRUE;TRUE;TRUE;NA;3292000;0;0;0;TRUE;"1";-60;NA;8;0;8;10.8220470762504;10.8220470762504;10.8220470762504;NA;7.5;7.5;7.5;NA;NA;NA;-3.32204707625036
28840;"United States of America";"Abs 1";"Scope 1+2 (location-based)";2016;2017;20;2025;2018;NA;12266.21;1226621;NA;FALSE;TRUE;TRUE;FALSE;NA;9812.968;0.111111111111111;-272.582444444444;-1214354.79;FALSE;"1";-99.2;445500;9;1;8;45.3127294295789;2.44888880209235;45.3127294295789;-9900;12.4;2.22222222222222;12.4;-9900;NA;-9900;-43.0905072073567
30131;"United States of America";"Abs 1";"Scope 1 +2 (market-based)";2016;2017;1;2017;2018;NA;334851;30593900;NA;FALSE;TRUE;TRUE;FALSE;NA;331502.49;1;-3348.51000000001;-30259049;FALSE;"0";-98.9164425261245;903657.119136569;1;1;0;NA;1;NA;-9036.57119136571;Inf;1;Inf;-9036.57119136571;NA;-9036.57119136571;NA
31448;"United Kingdom of Great Britain and Northern Ireland";"Abs 1";"Scope 1+2 (location-based)";2016;2017;1;2017;2018;NA;715.26;141640;NA;FALSE;TRUE;TRUE;FALSE;NA;708.1074;1;-7.15260000000001;-140924.74;FALSE;"0";-99.5000653770121;1970258.92682381;1;1;0;NA;1;NA;-19702.5892682381;Inf;1;Inf;-19702.5892682381;NA;-19702.5892682381;NA
34322;"China";"Abs 1";"Scope 1+2 (location-based)";2016;2017;10;2017;2018;NA;5476354;5476354;NA;FALSE;TRUE;TRUE;FALSE;NA;4928718.6;1;-547635.399999999;0;TRUE;"0";-9.99999999999999;0;1;1;0;NA;9.99999999999999;NA;0;Inf;9.99999999999999;Inf;0;NA;0;NA
35050;"United States of America";"Abs 1";"Scope 1+2 (location-based) +3 (upstream)";2016;2017;20;2030;2018;NA;13035;13035;NA;TRUE;TRUE;TRUE;TRUE;NA;10428;0.0714285714285714;-186.214285714286;0;TRUE;"2";-20;0;14;1;13;1.70184111498723;1.58124742067712;1.70184111498723;0;1.53846153846154;1.42857142857143;1.53846153846154;0;NA;0;-0.273269686415806
35322;"United States of America";"Abs 1";"Scope 1";2017;2017;8;2018;2018;NA;38601.92;38601.92;NA;TRUE;TRUE;TRUE;TRUE;NA;35513.7664;0;0;0;TRUE;"0";-8;NA;1;0;1;8;8;8;NA;7.99999999999999;7.99999999999999;7.99999999999999;NA;NA;NA;-0.00000000000000177635683940025
36595;"Spain";"Abs 1";"Scope 1+2 (location-based) +3 (upstream & downstream)";2016;2017;20;2020;2018;NA;44551;44551;NA;TRUE;TRUE;TRUE;TRUE;NA;35640.8;0.25;-2227.55;0;TRUE;"0";-20;0;4;1;3;7.16822332774442;5.42583909968242;7.16822332774442;0;6.66666666666666;5;6.66666666666666;0;NA;0;-2.16822332774442
37523;"United States of America";"Abs 3";"Scope 1+2 (location-based) +3 (upstream)";2017;2017;20;2023;2018;NA;4001;4001;NA;TRUE;TRUE;TRUE;TRUE;NA;3200.8;0;0;0;TRUE;"1";-20;NA;6;0;6;3.65075160010039;3.65075160010039;3.65075160010039;NA;3.33333333333333;3.33333333333333;3.33333333333333;NA;NA;NA;-0.317418266767056
45081;"Japan";"Abs 1";"Scope 1+2 (location-based)";2016;2018;1;2017;2018;NA;5901.93;258839.28;NA;FALSE;TRUE;TRUE;FALSE;NA;5842.9107;2;-118.0386;-252937.35;FALSE;"0";-97.7426491450602;214283.590283179;1;2;0;NA;1;NA;-562.244049098485;-97.7426491450602;0.999999999999999;-97.7426491450602;-2142.83590283179;NA;-2142.83590283179;NA
48176;"Ireland";"Abs 1";"Scope 1+2 (location-based) +3 (upstream & downstream)";2015;2017;30;2025;2018;NA;63743;63743;NA;TRUE;TRUE;TRUE;TRUE;NA;44620.1;0.2;-3824.58;0;TRUE;"1";-30;0;10;2;8;4.36050924285019;3.50389048801824;4.36050924285019;0;3.75;3;3.75;0;NA;0;-1.36050924285019
50895;"Germany";"Abs 3";"Scope 2 (location-based)";2013;2017;0;2017;2018;NA;2365.82;2365.82;NA;FALSE;TRUE;TRUE;FALSE;NA;2365.82;1;0;0;TRUE;"0";0;NA;4;4;0;NA;0;NA;0;NA;0;NA;0;NA;0;NA
50905;"Spain";"Abs 1";"Scope 2 (location-based)";2017;2017;1;2020;2018;NA;335;169300;NA;TRUE;TRUE;TRUE;TRUE;NA;331.65;0;0;-168965;FALSE;"0";-99.8041051388068;Inf;3;0;3;87.4875886220091;0.334450658740371;87.4875886220091;NA;33.2680350462689;0.333333333333336;33.2680350462689;NA;NA;NA;-87.1542552886758
51129;"China";"Abs 1";"Scope 1+2 (location-based)";2018;2018;3;2018;2018;NA;4861907.8;4861907.8;NA;FALSE;TRUE;TRUE;FALSE;NA;4716050.566;NA;NA;0;NA;"0";-3;NA;0;0;0;NA;100;NA;NA;Inf;Inf;Inf;NA;NA;NA;NA
51245;"Republic of Korea";"Abs 1";"Scope 1+2 (location-based)";2016;2017;9.7;2017;2018;NA;5942;594200;NA;FALSE;TRUE;TRUE;FALSE;NA;5365.626;1;-576.374;-588258;FALSE;"0";-99.097;102061.855670103;1;1;0;NA;9.7;NA;-9900;Inf;9.7;Inf;-9900;NA;-9900;NA
52905;"Finland";"Abs 1";"Scope 1+2 (market-based) +3 (upstream & downstream)";2014;2017;15;2020;2018;NA;210000;178500;NA;TRUE;TRUE;TRUE;TRUE;NA;178500;0.5;-15750;31500;TRUE;"0";0;-200;6;3;3;0;2.67229391453276;0;5.27317628140904;0;2.5;0;5;NA;5;2.5
58029;"Mexico";"Abs 2";"Scope 2 (location-based)";2016;2017;0;2020;2018;NA;3518360.64;3518360.64;NA;FALSE;TRUE;TRUE;FALSE;NA;3518360.64;0.25;0;0;TRUE;"0";0;NA;4;1;3;0;0;0;0;0;0;0;0;NA;0;0
58901;"Japan";"Abs 1";"Scope 1+2 (location-based)";2016;2018;3.8;2022;2018;NA;927;45.2585;NA;TRUE;TRUE;TRUE;TRUE;NA;891.774;0.333333333333333;-11.742;881.7415;TRUE;"1";1870.40114011733;-7509.29569068302;6;2;4;-110.687447929412;0.643600434786962;-110.687447929412;77.9041755422393;-467.600285029332;0.633333333333333;-467.600285029332;47.5588727076591;NA;47.5588727076591;111.320781262745
60620;"Finland";"Abs 2";"Scope 1+2 (location-based) +3 (upstream & downstream)";2015;2017;11;2030;2018;NA;99.5;99.5;NA;TRUE;TRUE;TRUE;TRUE;NA;88.555;0.133333333333333;-1.45933333333333;0;TRUE;"2";-11;0;15;2;13;0.892408159648328;0.773882101511847;0.892408159648328;0;0.846153846153846;0.733333333333333;0.846153846153846;0;NA;0;-0.159074826314995
71988;"China";"Abs 1";"Scope 2 (location-based)";2018;2019;1;2018;2018;NA;1;1;NA;TRUE;TRUE;TRUE;TRUE;NA;0.99;Inf;-Inf;0;TRUE;"0";-1;0;0;1;0;NA;100;NA;0;-1;Inf;-1;0;NA;0;NA
73380;"China";"Abs 1";"Scope 1";2018;2018;10;2100;2018;NA;10;100;NA;TRUE;TRUE;TRUE;TRUE;NA;9;0;0;-90;FALSE;"3";-91;Inf;82;0;82;2.89382226833753;0.128405922683883;2.89382226833753;NA;1.10975609756098;0.121951219512195;1.10975609756098;NA;NA;NA;-2.77187104882534
827021;"Italy";"Abs 1";"Scope 2 (location-based)";2014;2017;1;2017;2018;NA;6623;662300;NA;FALSE;TRUE;TRUE;FALSE;NA;6556.77;1;-66.2300000000005;-655677;FALSE;"0";-99.01;989999.999999993;3;3;0;NA;0.334450658740371;NA;-364.158883361278;Inf;0.333333333333336;Inf;-3300;NA;-3300;NA
831825;"United States of America";"Abs 1";"Scope 1 +2 (market-based)";2017;2017;5;2018;2018;NA;49548;4954800;NA;TRUE;TRUE;TRUE;TRUE;NA;47070.6;0;0;-4905252;FALSE;"0";-99.05;Inf;1;0;1;99.05;5;99.05;NA;99.05;5;99.05;NA;NA;NA;-94.05
