Scenario;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
CPS_min;1043.561659;1043.185199;1042.821344;1042.470262;1042.132122;1041.807097;1051.153461;1060.513293;1069.88677;1079.274075;1088.675393;1097.639671;1106.618337;1115.611582;1124.619602;1133.642591
CPS_max;1043.561659;1074.568769;1105.575878;1136.582988;1167.590098;1198.597208;1216.563775;1234.530341;1252.496908;1270.463474;1288.430041;1305.373267;1322.316494;1339.259721;1356.202948;1373.146174
NDC_min;1043.561659;1231.74985;1419.938042;1608.126233;1796.314425;1984.502616;1848.294616;1712.086616;1575.878616;1439.670616;1303.462616;1291.662616;1279.862616;1268.062616;1256.262616;1244.462616
NDC_max;1043.561659;1231.74985;1419.938042;1608.126233;1796.314425;1984.502616;1848.294616;1712.086616;1575.878616;1439.670616;1303.462616;1291.662616;1279.862616;1268.062616;1256.262616;1244.462616
CPS_NSA_min;1043.561659;1038.316503;1035.622366;1032.992949;1030.340601;1027.688855;1036.18102;1044.031605;1052.424956;1060.896663;1069.319238;1077.765942;1086.233132;1094.650078;1103.011885;1111.381351
CPS_NSA_max;1043.561659;1065.806687;1089.850344;1113.925516;1137.965509;1161.994999;1177.837089;1193.026193;1208.746072;1224.532597;1240.258123;1255.451402;1270.652984;1285.791976;1300.863317;1315.929639
