"Scope_short";"count_scopes"
"S1";1375
"S12L";4195
"S12L3";1180
"S12M";7927
"S12M3";1251
"S12X";5
"S12X3";229
"S13";60
"S2L";905
"S2M";697
"S2M3";21
"S2X";1
"S3";3617
"SX";109
