"account_id";"BY";"MRY";"TR";"TY";"source_year";"BY_EM";"MRY_EM";"TY_EM";"reduction_achieved";"Timelapsed";"reduction_required";"on_track";"target_year_group";"target_completed";"progress_rate";"maturity";"maturity_remaining";"annual_ambition";"annual_progress";"annual_ambition_a";"annual_progress_a"
"45";429;2018;2020;100;2030;2021;27688675;14066095;0;13622580;0.166666666666667;4614779.16666667;TRUE;"2";-100;295.194623794746;12;10;100;28.7252526947945;10;24.5995519828955
"46";432;2020;2020;33;2035;2021;32139000;32139000;21533130;0;0;0;TRUE;"3";-33;NA;15;15;100;0;2.2;NA
"47";432;2020;2020;100;2050;2021;32139000;32139000;0;0;0;0;TRUE;"3";-100;NA;30;30;100;0;3.33333333333333;NA
"48";454;2020;2020;100;2030;2021;105138;105138;0;0;0;0;TRUE;"2";-100;NA;10;10;100;0;10;NA
"49";454;2019;2020;100;2030;2021;144400;105100;0;39300;0.0909090909090909;13127.2727272727;TRUE;"2";-100;299.376731301939;11;10;100;27.2160664819945;10;27.2160664819945
"50";454;2020;2020;100;2030;2021;105100;105100;0;0;0;0;TRUE;"2";-100;NA;10;10;100;0;10;NA
"51";454;2020;2020;100;2030;2021;34900;34900;0;0;0;0;TRUE;"2";-100;NA;10;10;100;0;10;NA
"52";524;2017;2020;31.05;2023;2021;3220317.344;2183775;2220408.808688;1036542.344;0.5;499954.267656;TRUE;"1";1.67754501667983;207.327431938876;6;3;-0.556083650061101;12.1443412257515;-0.559181672226608;10.7291946028368
"53";569;2016;2020;21;2025;2021;1414;731;1117.06;683;0.444444444444444;131.973333333333;TRUE;"1";52.812585499316;517.528793695696;9;5;-11.1833565480927;15.205635068414;-10.5625170998632;12.0756718528996
"54";586;2005;2020;50;2030;2021;21597490;12624301;10798745;8973189;0.6;6479247;TRUE;"2";-14.460650138174;138.491232082987;25;10;1.03588855581569;3.51637679797221;1.4460650138174;2.76982464165975
"55";586;2005;2020;80;2040;2021;21597490;12624301;4319498;8973189;0.428571428571429;7404853.71428571;TRUE;"3";-65.7842600552696;121.179828072614;35;20;6.90027551300323;3.51637679797221;3.28921300276348;2.76982464165975
"56";586;2005;2020;100;2050;2021;21597490;12624301;0;8973189;0.333333333333333;7199163.33333333;TRUE;"3";-100;124.642108874689;45;30;100;3.51637679797221;3.33333333333333;2.76982464165975
"57";600;2011;2020;57;2025;2021;28856;13738;12408.08;15118;0.642857142857143;10573.6628571429;TRUE;"1";-9.68059397292181;142.977889537941;14;5;1.12493412047213;7.91529800545369;1.93611879458436;5.82124264547331
"58";600;2011;2020;78;2036;2021;28856;13738;6348.32;15118;0.36;8102.7648;TRUE;"3";-53.7900713349833;186.578289919016;25;16;8.2199338329962;7.91529800545369;3.36187945843645;5.82124264547331
"59";622;2019;2020;25;2025;2021;124098;99371.186;93073.5;24726.814;0.166666666666667;5170.75;TRUE;"1";-6.33753732193556;478.205560121839;6;5;6.33753732193556;19.9252316717433;1.26750746438711;19.9252316717433
"60";625;2018;2020;30;2030;2021;37.7;40.3;26.39;-2.59999999999999;0.166666666666667;1.885;FALSE;"2";-34.5161290322581;-137.931034482758;12;10;19.0778948817185;-3.39078862458586;3.45161290322581;-3.44827586206896
"61";625;2018;2020;30;2030;2021;29741;61300;20818.7;-31559;0.166666666666667;1487.05;FALSE;"2";-66.0380097879282;-2122.2554722437;12;10;41.7230832901467;-43.5662821181161;6.60380097879282;-53.0563868060926
"62";628;2017;2020;55;2030;2021;337007;280968;151653.15;56039;0.230769230769231;42773.9653846154;TRUE;"2";-46.0247608268557;131.011935639139;13;10;18.5799199280991;5.8820094850268;4.60247608268557;5.54281266165589
"63";628;2017;2020;18;2030;2021;2407298;5532013;1973984.36;-3124715;0.230769230769231;99995.4553846154;FALSE;"2";-64.3170693922809;-3124.85701273255;13;10;29.0715985895675;-31.9626755575581;6.43170693922809;-43.2672509455276
"64";631;2018;2020;10;2022;2021;768153;622552;691337.7;145601;0.5;38407.65;TRUE;"1";11.0489886788574;379.093748250674;4;2;-5.37978396203769;9.97482985994067;-5.52449433942868;9.47734370626685
"65";638;2018;2020;16;2025;2021;10580;7029;8887.2;3551;0.285714285714286;483.657142857143;TRUE;"1";26.4361929150661;734.197778827977;7;5;-12.4438495050157;18.4913053914713;-5.28723858301323;16.7816635160681
"66";638;2018;2020;36;2035;2021;10580;7029;6771.2;3551;0.117647058823529;448.094117647059;TRUE;"3";-3.66766254090198;792.467443814325;17;15;1.85096156400817;18.4913053914713;0.244510836060132;16.7816635160681
"67";638;2018;2020;16;2025;2021;70676;25162;59367.84;45514;0.285714285714286;3230.90285714286;TRUE;"1";135.942452905174;1408.70840172053;7;5;-53.6041838314225;40.332670886294;-27.1884905810349;32.1990491821835
"68";638;2018;2020;26;2030;2021;22985;3492;17008.9;19493;0.166666666666667;996.016666666667;TRUE;"2";387.081901489118;1957.09576479644;12;10;-120.699320680676;61.0224207282944;-38.7081901489118;42.4037415705895
"69";638;2018;2020;16;2025;2021;22985;3492;19307.4;19493;0.285714285714286;1050.74285714286;TRUE;"1";452.903780068728;1855.16369371329;7;5;-135.139060997685;61.0224207282944;-90.5807560137457;42.4037415705895
"70";641;2019;2020;30;2030;2021;41527;30620;29068.9;10907;0.0909090909090909;1132.55454545455;TRUE;"2";-5.06564337034618;963.044123903324;11;10;5.06564337034618;26.2648397428179;0.506564337034619;26.2648397428179
"71";660;2019;2020;1.25;2025;2021;41143487;19834198;40629193.4125;21309289;0.166666666666667;85715.5979166667;TRUE;"1";104.844145513219;24860.4565772464;6;5;-104.844145513219;51.7926178692632;-20.9688291026438;51.7926178692632
"72";689;2000;2020;80;2030;2021;1.67e+08;49271372;33400000;117728628;0.666666666666667;89066666.6666667;TRUE;"2";-32.2121575993459;132.180345808383;30;10;1.92516400527055;5.92073642211615;3.22121575993459;3.52480922155689
"73";706;2017;2020;60;2027;2021;837278;596969;334911.2;240309;0.3;150710.04;TRUE;"2";-43.8980583581392;159.451221696975;10;7;17.5243087759478;10.6638224193259;6.27115119401988;9.56707330181851
"74";710;2016;2020;3;2021;2021;85011.49;74293.623;82461.1453;10717.867;0.8;2040.27576;TRUE;"1";10.9935711440536;525.314627077665;5;1;-2.64184647809924;3.3129126829136;-10.9935711440536;3.15188776246599
"75";710;2019;2020;5;2022;2021;120311.363;107655.228;114295.79485;12656.135;0.333333333333333;2005.18938333333;TRUE;"1";6.16836448481628;631.169060897431;3;2;-6.16836448481628;10.5194843482905;-3.08418224240814;10.5194843482905
"76";716;2019;2020;100;2027;2021;296314;274993;0;21321;0.125;37039.25;FALSE;"2";-100;57.5632605951794;8;7;100;7.19540757439743;14.2857142857143;7.19540757439743
"77";722;2020;2020;100;2030;2021;45003;45003;0;0;0;0;TRUE;"2";-100;NA;10;10;100;0;10;NA
"78";724;2019;2020;42;2030;2021;7760;6762;4500.8;998;0.0909090909090909;296.290909090909;TRUE;"2";-33.4398107068914;336.831124202258;11;10;33.4398107068914;12.860824742268;3.34398107068914;12.860824742268
"79";727;2017;2020;60;2030;2021;4296.72;3334.91;1718.688;961.81;0.230769230769231;594.930461538462;TRUE;"2";-48.4637366525633;161.667633812665;13;10;19.8252448598285;8.09996258299751;4.84637366525633;7.4615830990461
"80";727;2017;2020;100;2050;2021;4296.72;3334.91;0;961.81;0.0909090909090909;390.610909090909;TRUE;"3";-100;246.232242268521;33;30;100;8.09996258299751;3.33333333333333;7.4615830990461
"81";746;2019;2020;50;2030;2021;160393;158535;80196.5;1858;0.0909090909090909;7290.59090909091;FALSE;"2";-49.4140095247106;25.4849027077242;11;10;49.4140095247106;1.15840466853292;4.94140095247106;1.15840466853292
"82";769;2019;2021;100;2030;2021;333119.838;362511.186;0;-29391.348;0.181818181818182;60567.2432727273;FALSE;"2";-100;-48.5268049391883;11;9;100;-4.31828959654619;11.1111111111111;-4.41152772174439
"83";769;2020;2021;10;2025;2021;281268.784;268833.691;253141.9056;12435.093;0.2;5625.37568;TRUE;"1";-5.83698618340214;221.053556373323;5;4;5.83698618340214;4.42107112746646;1.45924654585053;4.42107112746646
"84";777;2016;2020;30;2030;2021;5579000;3942903;3905300;1636097;0.285714285714286;478200;TRUE;"2";-0.953688183554113;342.136553743204;14;10;0.239279496885458;8.31148626275834;0.0953688183554109;7.33149758021151
"85";814;2019;2020;81;2025;2021;10051;2393;1909.69;7658;0.166666666666667;1356.885;TRUE;"1";-20.1968240702048;564.380916584677;6;5;20.1968240702048;76.1914237389314;4.03936481404096;76.1914237389314
"86";814;2020;2020;100;2035;2021;2393;2393;0;0;0;0;TRUE;"3";-100;NA;15;15;100;0;6.66666666666667;NA
"87";820;2017;2020;3;2022;2021;2926565;2345210;2838768.05;581355;0.6;52678.17;TRUE;"1";21.0453669394212;1103.5975623299;5;2;-6.57353967433743;7.11594057267727;-10.5226834697106;6.62158537397939
"88";846;2019;2020;28;2030;2021;85257;37695;61385.04;47562;0.0909090909090909;2170.17818181818;TRUE;"2";62.8466374850776;2191.61727817909;11;10;-62.8466374850776;55.7866216263767;-6.28466374850776;55.7866216263767
"89";846;2019;2020;14;2030;2021;349072;397397;300201.92;-48325;0.0909090909090909;4442.73454545455;FALSE;"2";-24.4579299793406;-1087.73097977331;11;10;24.4579299793406;-13.8438488334785;2.44579299793406;-13.8438488334785
"90";865;2019;2020;61.7;2030;2021;52730;47430;20195.59;5300;0.0909090909090909;2957.67363636364;TRUE;"2";-57.4202192705039;179.194889349461;11;10;57.4202192705039;10.0512042480561;5.74202192705039;10.0512042480561
"91";865;2015;2020;75;2030;2021;406890;937630;101722.5;-530740;0.333333333333333;101722.5;FALSE;"2";-89.1511043801926;-521.752807884195;15;10;35.8676570733192;-18.1709958922941;8.91511043801926;-26.0876403942097
"92";868;2019;2020;50;2030;2021;144200;151300;72100;-7100;0.0909090909090909;6554.54545454545;FALSE;"2";-52.3463317911434;-108.321775312067;11;10;52.3463317911434;-4.92371705963939;5.23463317911434;-4.92371705963939
"93";889;2019;2020;15;2025;2021;441141;387365;374969.85;53776;0.166666666666667;11028.525;TRUE;"1";-3.19986317813948;487.608270371605;6;5;3.19986317813948;12.1902067592901;0.639972635627898;12.1902067592901
"94";894;2008;2020;100;2030;2021;53577;25376.8;0;28200.2;0.545454545454545;29223.8181818182;FALSE;"2";-100;96.4973153903105;22;10;100;6.0374331839215;10;4.38624160865048
"95";894;2019;2020;74;2050;2021;25484;25376.8;6625.84;107.199999999997;0.032258064516129;608.327741935484;FALSE;"3";-73.8901673969925;17.6220797787266;31;30;73.8901673969925;0.420656097943795;2.46300557989975;0.420656097943796
"96";895;2020;2020;10;2022;2021;24650;24650;22185;0;0;0;TRUE;"1";-10;NA;2;2;100;0;5;NA
"97";912;2019;2020;0;2035;2021;17810000;16230000;17810000;1580000;0.0625;0;TRUE;"3";9.73505853357979;Inf;16;15;-9.73505853357979;8.87142055025266;-0.649003902238653;8.87142055025267
"98";917;2019;2020;20;2024;2021;3891;1136;3112.8;2755;0.2;155.64;TRUE;"1";174.014084507042;1770.11051143665;5;4;-174.014084507042;70.804420457466;-43.5035211267606;70.8044204574659
"99";943;2015;2020;37.5;2030;2021;4300000;3371000;2687500;929000;0.333333333333333;537500;TRUE;"2";-20.2758825274399;172.837209302326;15;10;4.43080143228836;4.75151877850091;2.02758825274399;4.32093023255814
"100";943;2015;2020;19;2030;2021;2e+05;11121000;162000;-10921000;0.333333333333333;12666.6666666667;FALSE;"2";-98.5432964661451;-86218.4210526316;15;10;57.0785648639025;-123.368932672961;9.85432964661451;-1092.1
"101";950;2019;2021;42;2030;2021;14097.34;2828.64;8176.4572;11268.7;0.181818181818182;1076.52414545455;TRUE;"2";189.059661179931;1046.76704629249;11;9;-70.0175465003336;55.2059580753392;-21.0066290199923;39.9674690402587
"102";992;2019;2020;50;2030;2021;914864;830111;457432;84753;0.0909090909090909;41584.7272727273;TRUE;"2";-44.8950802964905;203.80799769146;11;10;44.8950802964905;9.26399989506637;4.48950802964905;9.26399989506637
"103";992;2019;2020;100;2050;2021;914864;830111;0;84753;0.032258064516129;29511.7419354839;TRUE;"3";-100;287.183996747058;31;30;100;9.26399989506637;3.33333333333333;9.26399989506637
"104";993;2019;2020;30;2030;2021;11478398;11238061;8034878.6;240337;0.0909090909090909;313047.218181818;FALSE;"2";-28.5029810747601;76.7734022349344;11;10;28.5029810747601;2.09382006095276;2.85029810747601;2.09382006095276
"105";993;2019;2020;100;2050;2021;11478398;11238061;0;240337;0.032258064516129;370270.903225806;FALSE;"3";-100;64.9084218895355;31;30;100;2.09382006095276;3.33333333333333;2.09382006095276
"106";1046;2015;2020;63;2030;2021;30858;23135;11417.46;7723;0.333333333333333;6480.18;TRUE;"2";-50.6485411713854;119.178788243536;15;10;13.1719597327957;5.59818466070313;5.06485411713854;5.00550910622853
"107";1051;2015;2021;30;2030;2021;226297;122596;158407.9;103701;0.4;27155.64;TRUE;"2";29.2113119514503;381.87647206989;15;9;-4.36384938348624;9.71140034577966;-3.24570132793892;7.63752944139781
"108";1076;2019;2020;25;2025;2021;27002;24478;20251.5;2524;0.166666666666667;1125.08333333333;TRUE;"1";-17.2665250428957;224.338937856455;6;5;17.2665250428957;9.34745574401896;3.45330500857913;9.34745574401896
"109";1085;2018;2020;30;2030;2021;4152915;3555188;2907040.5;597727;0.166666666666667;207645.75;TRUE;"2";-18.2310330705437;287.859009876195;12;10;9.57380527222417;7.47592231954418;1.82310330705437;7.19647524690488
"110";1104;2015;2020;20;2025;2021;295211;224771;236168.8;70440;0.5;29521.1;TRUE;"1";5.07084988721855;238.608994922276;10;5;-0.994203638679436;5.30619923381754;-1.01416997744371;4.77217989844552
"111";1104;2015;2020;95;2025;2021;331811;23235;16590.55;308576;0.5;157610.225;TRUE;"1";-28.5967290725198;195.784251941776;10;5;6.51463642730945;41.2442492962056;5.71934581450397;18.5995039344687
"112";1104;2015;2020;100;2025;2021;627022;248006;0;379016;0.5;313511;TRUE;"1";-100;120.894003719168;10;5;100;16.9315930618158;20;12.0894003719168
"113";1104;2019;2020;50;2030;2021;7234606;7797145;3617303;-562539;0.0909090909090909;328845.727272727;FALSE;"2";-53.6073396095622;-171.064713130197;11;10;53.6073396095622;-7.77566877864531;5.36073396095622;-7.77566877864531
"114";1106;2020;2020;50;2025;2021;20430.6;20430.6;10215.3;0;0;0;TRUE;"1";-50;NA;5;5;100;0;10;NA
"115";1106;2020;2020;100;2035;2021;20379;20379;0;0;0;0;TRUE;"3";-100;NA;15;15;100;0;6.66666666666667;NA
"116";1113;2019;2020;100;2035;2021;6525043;5788258;0;736785;0.0625;407815.1875;TRUE;"3";-100;180.666395608427;16;15;100;11.2916497255267;6.66666666666667;11.2916497255267
"117";1115;2015;2020;43;2030;2021;8683.2;5411.8;4949.424;3271.4;0.333333333333333;1244.592;TRUE;"2";-8.54384862707415;262.849190738813;15;10;1.77035278319085;9.022837628955;0.854384862707414;7.53501013451263
"118";1115;2015;2020;57;2040;2021;8683.2;5411.8;3733.776;3271.4;0.2;989.8848;TRUE;"3";-31.0067629993717;330.482900636519;25;20;7.15440488022194;9.022837628955;1.55033814996859;7.53501013451263
"119";1115;2015;2020;43;2030;2021;6130.9;392470.9;3494.613;-386340;0.333333333333333;878.762333333333;FALSE;"2";-99.1095867234998;-43964.1055772759;15;10;61.1028013027573;-129.750595513389;9.91095867234998;-1260.30435988191
"120";1115;2015;2020;72;2040;2021;6130.9;392470.9;1716.652;-386340;0.2;882.8496;FALSE;"3";-99.5626040045262;-43760.5680514552;25;20;66.2576783902607;-129.750595513389;4.97813020022631;-1260.30435988191
"121";1134;2019;2020;100;2040;2021;342093;303103;0;38990;0.0476190476190476;16290.1428571429;TRUE;"3";-100;239.347195060992;21;20;100;11.3974854790949;5;11.3974854790949
"122";1134;2019;2020;100;2030;2021;342093;303103;0;38990;0.0909090909090909;31099.3636363636;TRUE;"2";-100;125.372340270044;11;10;100;11.3974854790949;10;11.3974854790949
"123";1134;2019;2020;100;2030;2021;342093;303103;0;38990;0.0909090909090909;31099.3636363636;TRUE;"2";-100;125.372340270044;11;10;100;11.3974854790949;10;11.3974854790949
"124";1149;2019;2020;50;2025;2021;20981;12228;10490.5;8753;0.166666666666667;1748.41666666667;TRUE;"1";-14.2091920183186;500.624374434012;6;5;14.2091920183186;41.718697869501;2.84183840366372;41.718697869501
"125";1149;2019;2020;86;2050;2021;20981;12228;2937.34;8753;0.032258064516129;582.053548387097;TRUE;"3";-75.9785737651292;1503.81352785411;31;30;75.9785737651292;41.718697869501;2.53261912550431;41.718697869501
"126";1158;2018;2020;25;2025;2021;3568787.47;3011525.46;2676590.6025;557262.01;0.285714285714286;254913.390714286;TRUE;"1";-11.1217674214848;218.608370646403;7;5;5.72474737317581;8.1386281495863;2.22435348429696;7.80744180880012
"127";1187;2015;2020;24;2025;2021;209532;134093;159244.32;75439;0.5;25143.84;TRUE;"1";18.7566241339966;300.029748837091;10;5;-3.49790733323685;8.54000995931233;-3.75132482679931;7.20071397209018
"128";1187;2015;2020;35;2030;2021;209532;134093;136195.8;75439;0.333333333333333;24445.4;TRUE;"2";1.56816537776023;308.602027375294;15;10;-0.311684071073404;8.54000995931233;-0.156816537776022;7.20071397209018
"129";1193;2019;2020;100;2030;2021;354000;315800;0;38200;0.0909090909090909;32181.8181818182;TRUE;"2";-100;118.700564971751;11;10;100;10.7909604519774;10;10.7909604519774
"130";1198;2009;2021;85;2050;2021;22317;969;3347.55;21348;0.292682926829268;5552.03414634146;TRUE;"3";245.46439628483;384.507721626088;41;29;-10.8835039432041;23.0029658375801;-8.4642895270631;7.97150154590671
"131";1198;2019;2021;50;2030;2021;2727;969;1363.5;1758;0.181818181818182;247.909090909091;TRUE;"2";40.7120743034056;709.130913091309;11;9;-18.6221203247546;40.3899728608219;-4.52356381148951;32.2332233223322
"132";1227;2015;2020;26;2025;2021;699024;402220;517277.76;296804;0.5;90873.12;TRUE;"1";28.6056784844115;326.613634482892;10;5;-5.16035148001039;10.4646954964095;-5.7211356968823;8.4919544965552
